symbol,medianA,medianB,pvalue,pvalue_adj
CG42342,6.26465563439,10.3675982044,1.75893739454e-05,0.27302226238
CG31676,9.5155282709,0.0,1.87923035691e-05,0.291694136
beat-VI,0.0,8.07651577841,1.87923035691e-05,0.291694136
Fas3,7.48914801034,0.0,1.87923035691e-05,0.291694136
Ac76E,7.72680588304,0.0,1.87923035691e-05,0.291694136
betaTub56D,11.5618729588,10.1396348471,2.34743628248e-05,0.364369059766
CG31997,2.26284957183,9.52775016536,5.46570872633e-05,0.848387308501
hth,9.17658678837,0.82528573317,5.46570872633e-05,0.848387308501
CG4238,9.24605620259,8.04184950151,6.1672877202e-05,0.957286399929
GV1,8.14582904056,0.0,6.2654363942e-05,0.972521037107
plum,6.3366851723,0.0,6.53070589699e-05,1.01369616933
CG10527,7.27741714902,8.43680871439,7.78979465439e-05,1.20913192626
CG15537,11.0749585188,8.86859686992,9.80807368533e-05,1.52240919744
CG31814,0.0,7.5424174377,0.000106995032231,1.66077689029
Sulf1,5.92278056831,0.0,0.00011600356004,1.80060725894
CG45186,8.71121419636,6.13414294146,0.000121576208476,1.88710590796
regucalcin,7.30938528124,8.85421801884,0.000153557237674,2.38351544317
CG33543,8.89769739238,0.0,0.000161903572382,2.51306725052
PVRAP,8.39288146607,1.9016866979,0.000173095085209,2.68678191261
mura,7.03232585999,8.17924986526,0.000192101013517,2.98179193182
CG15630,7.56787657162,0.0,0.000239209057348,3.71300298815
klg,5.34914593016,8.22058659814,0.000287940759511,4.46941646913
CG34380,8.66853762864,6.2480390713,0.000356065705973,5.52685188811
CG34393,0.0,6.33985682561,0.000542166280837,8.41550501115
tinc,7.2299268459,0.0,0.000542166280837,8.41550501115
CCKLR-17D3,7.90249205384,0.0,0.000542166280837,8.41550501115
fne,9.12915012298,8.27282420406,0.00055308909204,8.58504888665
Ten-m,7.56358660793,0.78419209231,0.000621214340659,9.6424889957
jeb,5.36277153796,7.32870665017,0.000670439238374,10.406557858
Sdc,8.81806232844,6.81533746418,0.0006753339723,10.482533918
Octbeta3R,0.0,5.19875822698,0.000755145951111,11.7213754531
CG8216,9.44762408679,6.82340873758,0.000824088988833,12.7915092847
ST6Gal,11.0579554349,10.1441627397,0.00100475242783,15.5957671848
CG8866,0.0,7.40238196347,0.0010075321246,15.6389136381
hppy,2.9142318832,7.84414305347,0.00108243223757,16.8015131916
DIP-beta,0.0,7.15876168979,0.00112871004054,17.5198372493
CG12004,3.21951164516,7.90047268405,0.00116590237631,18.0971366851
Pkc98E,9.67447381464,10.4360998265,0.00121836740449,18.9114988526
brp,9.48936651998,7.9672375439,0.00121836740449,18.9114988526
CG42747,7.39884477636,0.0,0.00137316776791,21.3143100934
CG8012,0.0,4.25041421077,0.00142779274305,22.1621989576
Con,8.50592557304,6.13794032944,0.00147282307527,22.8611597743
fabp,6.70292210372,0.69483214661,0.00157976558932,24.5211214775
CG8243,7.59221635206,0.0,0.00169115023202,26.2500339014
mspo,7.42747438439,8.91478661422,0.00173908106987,26.9940163665
Ubc2,6.17229215895,3.15536159222,0.00176053230348,27.3269824146
mRpL27,5.45387763538,6.41997307199,0.00177131609779,27.4943684699
CG5938,7.23811900235,9.58668925549,0.00177491931746,27.5502976456
hig,7.08949088519,9.08081997914,0.00177491931746,27.5502976456
CASK,8.27988507701,9.89579469975,0.00177491931746,27.5502976456
CG31388,0.0,8.07875139781,0.001828432202,28.3809246395
CG32392,0.0,6.4338028024,0.0018668701386,28.9775582913
atms,0.0,6.93649940029,0.00201257007866,31.239112761
nAChRalpha6,8.91654431749,7.93628912732,0.00213238245702,33.0988404978
Men,8.66815885216,9.7220950421,0.00213238245702,33.0988404978
pros,10.0807246018,9.41859606929,0.00213238245702,33.0988404978
CG2991,7.7436177626,6.08424763654,0.00233008206691,36.1675338426
sowah,0.0,6.71287333695,0.00239300692391,37.1442534729
nAChRbeta1,10.8039748778,11.335784489,0.0025539527125,39.6424540034
igl,11.940520208,12.2144591151,0.0025539527125,39.6424540034
Tailor,7.15459663686,0.0,0.00292094333165,45.3388823938
mgl,2.60497812374,0.0,0.0029371589306,45.5905809207
Smyd4-4,7.00147922334,0.0,0.00307529397712,47.7347131128
Rab21,7.26129919101,0.0,0.00344965301637,53.54551412
CG7357,0.445835460815,0.0,0.00352705120034,54.7468887317
CG10384,0.0,1.44140399373,0.00352705120034,54.7468887317
alpha-Est9,0.0,0.905776570985,0.00352705120034,54.7468887317
CG11788,0.0,0.584957992335,0.00352705120034,54.7468887317
CG43861,0.599600076635,0.0,0.00352705120034,54.7468887317
CG1518,3.77907825777,0.0,0.00352705120034,54.7468887317
twz,3.49035095947,0.0,0.00352705120034,54.7468887317
pad,2.65886368901,0.0,0.00352705120034,54.7468887317
ATP8B,0.0,7.52600667187,0.00359044554028,55.7308956763
CG14024,9.70029525732,7.17278988828,0.00360467167913,55.9517138034
CG41099,8.57367034173,7.16121004668,0.00362364234065,56.2461764115
CG42307,1.62117240964,0.0,0.00364894251992,56.6388857942
beta3GalTII,5.0149458348,0.0,0.00364894251992,56.6388857942
TBCB,0.0,3.51709706539,0.00364894251992,56.6388857942
Drep1,0.0,7.86516842907,0.00398864969176,61.9118205154
eIF3-S9,0.0,7.66889965526,0.00415787213509,64.5384912809
Klp10A,0.0,5.08328785837,0.00418611821577,64.9769269452
CG42389,1.98497669209,0.0,0.00447257634231,69.4233299853
trk,0.801976201966,0.0,0.00447257634231,69.4233299853
cnir,5.80030158788,0.0,0.00451760512169,70.1222666989
Ac3,6.21202254894,0.493792078473,0.00464668781242,72.1258882244
Asap,0.0,5.40982015089,0.00478027785591,74.1994728795
Moe,8.34264134641,3.62496188084,0.00481299234794,74.7072672248
CG4168,7.03685181938,1.43216804645,0.00481299234794,74.7072672248
CycY,8.10532544076,4.79323390187,0.00493354571083,76.5784965235
Pex23,4.61331220528,0.0,0.00494472589418,76.7520353295
dpr2,0.0,7.90841203583,0.00494472589418,76.7520353295
Alas,8.18075531035,4.67291761837,0.00506374462822,78.5994441192
Gbeta5,9.04982718104,9.87759731243,0.00509655249555,79.108687836
Cnx99A,9.71396688776,9.03904982098,0.00509655249555,79.108687836
CG6044,11.7643986218,12.1409450627,0.00509655249555,79.108687836
MESK2,10.6772804363,11.0412016102,0.00509655249555,79.108687836
swi2,2.18904554676,0.0,0.00544425276621,84.5056914371
CG34402,0.0,6.46642465746,0.00544425276621,84.5056914371
CG4565,0.0,2.66268434749,0.00545841288083,84.7254847362
RNaseX25,7.16870758881,0.0,0.00571579258186,88.7205324556
pyd,6.37014994802,4.17660971169,0.00582677971481,90.4432747333
Atg18a,7.36478666549,0.0,0.00587556329273,91.2004934297
Nmdar2,6.10487813861,7.13289110732,0.00597427122471,92.7326379499
CG7739,7.67759840044,9.1488532408,0.00597427122471,92.7326379499
Hsp67Bc,10.7973463872,8.54076783328,0.00600211729593,93.1648646674
CG31808,11.1819830149,11.5677135805,0.00601141270381,93.3091479885
CG12541,0.0,5.78567589568,0.00623102589102,96.7179838804
ppl,1.09139617952,6.4715978101,0.00649274409288,100.78037381
CG34356,1.30411046735,0.0,0.00663282670479,102.954736112
dpr13,0.0,6.09008931462,0.0067947678321,105.46838629
NK7.1,6.13173236026,1.79452191713,0.00686066545951,106.491249262
nmo,9.45863608481,8.63018994103,0.00706898472796,109.724780947
CG42540,10.1839690773,9.5162594839,0.00706898472796,109.724780947
IA-2,10.4685459797,10.1050916407,0.00706898472796,109.724780947
CG10512,7.14332628656,0.0,0.00740310196334,114.910948675
CG5181,0.0,4.81887449295,0.00802528727053,124.568509013
Panx,0.0,5.17487700414,0.00802528727053,124.568509013
Hsp68,0.0,3.54428865118,0.00805893116142,125.090729488
Trs31,6.22067241614,0.0,0.00805893116142,125.090729488
ab,0.0,0.0,0.00823657790279,127.848162207
CG30463,0.0,0.0,0.00823657790279,127.848162207
CG15653,0.0,0.0,0.00823657790279,127.848162207
CG45782,0.0,0.0,0.00823657790279,127.848162207
CG13001,0.0,0.0,0.00823657790279,127.848162207
CG15760,0.0,0.0,0.00823657790279,127.848162207
Gr32a,0.0,0.0,0.00823657790279,127.848162207
Vps13,0.0,0.0,0.00823657790279,127.848162207
hop,0.0,0.0,0.00823657790279,127.848162207
CG4022,0.0,0.0,0.00823657790279,127.848162207
Upf3,0.0,0.0,0.00823657790279,127.848162207
CG10420,0.0,0.0,0.00823657790279,127.848162207
CCKLR-17D1,0.0,0.0,0.00823657790279,127.848162207
PDZ-GEF,0.0,0.0,0.00823657790279,127.848162207
JIL-1,0.0,0.0,0.00823657790279,127.848162207
Cad87A,0.0,0.0,0.00823657790279,127.848162207
Syx8,0.0,0.0,0.00823657790279,127.848162207
Lig4,0.0,0.0,0.00823657790279,127.848162207
Jra,0.0,0.0,0.00823657790279,127.848162207
twin,7.51402989428,0.0,0.0082400050643,127.901358608
CG10188,0.0,5.41767586777,0.00826542146736,128.295872016
CG34370,8.74083254764,7.53652952875,0.00828746337493,128.638006506
LpR2,7.77539223018,4.73007392396,0.00828746337493,128.638006506
Evi5,3.32014496473,7.80712078562,0.0085313207872,132.423161259
trn,7.88560004129,1.07200201759,0.00860538725139,133.572820916
Sep1,1.40255085972,7.86978987105,0.00860538725139,133.572820916
CG42541,7.50270598557,1.0420923681,0.0089600468541,139.077847269
T-cp1,8.01595611733,0.0,0.00896604537191,139.170956263
Itp-r83A,0.0,3.66282203773,0.00914149983987,141.894360514
caup,7.57981580469,4.2203665692,0.00942455500723,146.287942822
CG4495,6.26674001596,2.41007302771,0.00942455500723,146.287942822
betaCOP,0.0,8.22510597322,0.00957854978099,148.678249701
maf-S,7.43927267839,6.45751509062,0.00963401099964,149.539118736
AnxB10,6.9596501594,8.44936869414,0.00963401099964,149.539118736
ics,3.53559348526,0.0,0.00966848626792,150.074243851
Fdh,3.80931479944,0.0,0.00966848626792,150.074243851
Vps53,1.99429788192,0.0,0.00966848626792,150.074243851
RpL5,9.32182773933,8.52395744777,0.0096866596658,150.356331332
CG8909,4.94810441651,7.61249367674,0.0096866596658,150.356331332
Vha44,9.291393385,9.98349804191,0.0096866596658,150.356331332
glob1,7.70908368464,0.0,0.00970929361144,150.707655437
CLS,7.61479646457,0.0,0.00970929361144,150.707655437
r2d2,0.0,7.52529445378,0.00971815874941,150.845260108
CR43628,0.0,0.493792078473,0.00974606052132,151.278351412
5-HT1A,2.79058285489,0.0,0.00974606052132,151.278351412
CG5059,1.40255085972,0.0,0.00974606052132,151.278351412
CG7852,3.14926551026,7.09051660687,0.00997795713259,154.877850612
akirin,7.34692654678,0.0,0.010524821166,163.366274139
Vps35,0.0,8.42386534296,0.0108968262449,169.140536974
CG1598,5.65792300461,7.85598221312,0.010995767115,170.676297159
fwd,0.0,3.14962061405,0.011008781754,170.878310386
CG11035,0.0,3.14063254102,0.011008781754,170.878310386
CG4390,7.01382630378,0.0,0.011008781754,170.878310386
Socs16D,3.35320201547,0.0,0.011008781754,170.878310386
kuz,1.93492348623,0.0,0.0110568859277,171.62498337
CG10672,1.2913859673,7.42190749659,0.0112105614883,174.010335422
RpL11,6.13554833577,0.0,0.0112105614883,174.010335422
CG5674,4.81327977171,0.0,0.0112199271545,174.155709292
CG3955,9.65928715106,8.99507188465,0.0112880312616,175.212821242
vig,9.72303978556,8.91132299025,0.0112880312616,175.212821242
Hsc70-3,8.84562844346,8.26218209187,0.0112880312616,175.212821242
Gapdh2,12.1051616672,12.311988778,0.0112880312616,175.212821242
IntS11,5.80164339644,0.0,0.0115984223418,180.030711589
CG15097,4.65102219738,0.0,0.0115984223418,180.030711589
CG8839,2.01960763626,0.0,0.0115984223418,180.030711589
CG14777,7.29258694358,1.37030423775,0.0117705980311,182.703222638
CG14591,8.97747626293,7.8289326096,0.0120172595735,186.531903099
spi,8.02518699741,3.58306674875,0.0122129533629,189.569462099
CG1814,1.1237210764,8.43136257571,0.0122129533629,189.569462099
l(1)10Bb,0.0,5.17644837477,0.0127045391596,197.199856836
Hr96,2.67429653454,0.0,0.0127422475789,197.785166919
dpr6,6.33762528959,8.51295621548,0.0127900973043,198.527890357
bel,3.32997569142,0.0,0.0130760452557,202.966374459
CG9855,0.0,4.93778551971,0.0130760452557,202.966374459
mri,0.0,6.12994997624,0.0130760452557,202.966374459
Best1,1.39097384834,0.0,0.013084786887,203.10206206
Tsp66E,10.3784804362,10.7687088322,0.0131146939174,203.566278986
Ktl,9.67384577962,10.5467253411,0.0131146939174,203.566278986
nAChRalpha3,7.34559786655,8.03604461978,0.0131146939174,203.566278986
Mob2,9.01636779548,9.8851042086,0.0131146939174,203.566278986
l(1)G0289,0.0,6.67591411739,0.0131707186202,204.435894423
Not1,0.0,5.59278210871,0.0131707186202,204.435894423
stv,0.0,6.56470892987,0.0131707186202,204.435894423
CG7427,0.0,7.31617273774,0.013304503679,206.512506106
Chi,0.0,7.36050975353,0.013304503679,206.512506106
Mulk,7.7443433038,1.34877859862,0.0135242580583,209.92353358
CG6145,0.466652846343,8.41444000438,0.013701930013,212.681357662
x16,1.66518499039,0.0,0.0138544332379,215.048512718
CG11970,0.747666771815,0.0,0.0141814401924,220.124314667
Unc-115b,0.591747022205,0.0,0.0141814401924,220.124314667
Hs3st-A,0.0,0.43857106277,0.0141814401924,220.124314667
Grip75,0.0,2.47368892303,0.0141814401924,220.124314667
Strip,0.0,6.22807950861,0.0147661604059,229.20034182
CG13248,7.70523806397,4.08295799356,0.0148323523275,230.227772827
Aos1,5.84411609346,0.0,0.0149637184723,232.266838127
CG12006,7.55224094906,0.0,0.0149637184723,232.266838127
Cdc27,6.71801331644,0.0,0.0149637184723,232.266838127
bru-3,7.31269789558,5.14993696843,0.0151193855559,234.683102598
UQCR-C1,11.1348693492,11.4363582523,0.0151914109883,235.80108136
CG3907,7.98413949923,8.62124668246,0.0151914109883,235.80108136
kar,0.0,2.66977102765,0.0154063337215,239.137112025
Teh4,8.12119103751,0.0,0.0154063337215,239.137112025
CG43707,6.3570735452,0.0,0.0154079350585,239.161967977
NitFhit,0.0,4.97327040962,0.015490861509,240.449152343
CG6693,1.3025062472,0.0,0.015490861509,240.449152343
CG6621,4.38511416149,0.0,0.015490861509,240.449152343
CG31324,0.0,6.84460128964,0.0155706873687,241.688209337
plx,4.00126845397,0.970883849775,0.0159007278833,246.811098205
SmD2,7.74357274119,6.87744139543,0.0163128059337,253.207373704
drl,6.23682800568,0.0,0.0166439694144,258.34769325
Dgk,0.0,5.24746832107,0.0166995540422,259.210477843
cold,0.0,2.41643717671,0.0169881050876,263.68936717
CG17187,0.466652846343,0.0,0.0169881050876,263.68936717
Ak6,0.0,0.523492865445,0.0169881050876,263.68936717
Ulp1,1.43949106727,0.0,0.0169881050876,263.68936717
beat-Va,1.65362922467,0.0,0.0169881050876,263.68936717
mCD8-GFP,11.8480518284,10.412456379,0.0174652427277,271.095497619
l(1)G0469,0.0,1.4085960597,0.0175102859776,271.794658944
Rep,0.0,7.90940745498,0.0175102859776,271.794658944
LTV1,0.0,7.40074108784,0.0175102859776,271.794658944
SA,4.84168807993,0.0,0.0175102859776,271.794658944
14-3-3zeta,11.1159314078,10.6116903707,0.017544558047,272.326630006
CkIalpha,9.65323965451,9.15587718695,0.017544558047,272.326630006
ND-13A,7.68461840987,8.26346684977,0.017544558047,272.326630006
TER94,9.19089797932,8.27233296491,0.017544558047,272.326630006
drpr,9.31451319523,10.0113757553,0.017544558047,272.326630006
miple1,11.294819191,11.1785490529,0.017544558047,272.326630006
ATPsynC,13.6886984149,13.8747758264,0.017544558047,272.326630006
His3.3B,2.91508970858,0.0,0.0176348348428,273.72790643
Ubqn,0.0,6.74538057784,0.0176348348428,273.72790643
Ccn,0.0,7.80257178176,0.0179809847018,279.100844541
Usf,0.0,6.83200496502,0.0181055099237,281.033725035
CG15168,0.0,5.68377042602,0.0181055099237,281.033725035
Hsepi,0.0,7.54330070428,0.0181055099237,281.033725035
CG42376,5.44113913555,3.77352277318,0.0181095934207,281.097109076
CG5285,5.04810091334,0.0,0.0182672287128,283.54392408
CG12950,1.30524923327,0.0,0.0182672287128,283.54392408
CG5758,7.11407303473,0.0,0.0182672287128,283.54392408
CG6282,0.911316767205,0.0,0.0182672287128,283.54392408
spri,0.0,0.0,0.0183437214739,284.731244718
Csat,0.0,0.0,0.0183437214739,284.731244718
