symbol,medianA,medianB,pvalue,pvalue_adj
beat-VI,0.0,7.91684497275,5.13445780758e-06,0.0796970540892
CG42342,6.001676529,10.2214121209,1.75893739454e-05,0.27302226238
CG15537,11.0125018621,8.3155514728,1.82922767695e-05,0.283932720016
hth,9.34399940507,0.0,1.88783859368e-05,0.293030306511
hppy,0.0,7.83621276092,3.98264953155e-05,0.618186860287
PVRAP,8.2570185969,4.59627489903,5.75858987489e-05,0.89384832038
CCKLR-17D3,7.90249205384,0.0,6.2654363942e-05,0.972521037107
CG31676,9.23565650248,0.0,6.2654363942e-05,0.972521037107
mspo,2.10514646768,9.03360449204,6.92728397833e-05,1.07525301912
CG6115,8.4587550336,9.22804754096,7.78979465439e-05,1.20913192626
Sulf1,7.0316224882,0.0,0.000105103273193,1.6314130065
klg,5.08493918388,8.18652316844,0.000119311802124,1.85195779258
CG10527,7.46994965691,8.51475818674,0.000123103116411,1.91080657294
Nmdar1,0.0,8.08600828503,0.000132597583797,2.05817969569
Ac76E,8.04931547208,0.0,0.000148206009967,2.30045368671
regucalcin,7.45566734955,9.59989480367,0.000154022352814,2.39073496038
ATPsyngamma,11.5276599192,12.0888806298,0.000192101013517,2.98179193182
CG31997,3.19315106693,9.70418345734,0.000215892781976,3.35108776183
CG31814,0.0,7.02516109025,0.000301562738535,4.68085682754
tinc,5.79436482038,0.0,0.000401100451324,6.22588120545
betaTub56D,11.4853782973,10.2869806192,0.00045046779818,6.99216116335
CG11317,0.0,4.64443706965,0.000542166280837,8.41550501115
beat-IIb,0.0,3.43927969736,0.000542166280837,8.41550501115
plum,6.37910479509,0.0,0.000606251512059,9.41023597018
Nmdar2,6.15064113258,7.34585854581,0.0006753339723,10.482533918
CG8891,6.13627995593,0.0,0.000755145951111,11.7213754531
CG34370,8.843771825,6.86070622601,0.000826019728117,12.8214782198
Ktl,9.74796809079,10.6463270324,0.000826019728117,12.8214782198
CG45186,8.41470726236,6.5469742086,0.000826019728117,12.8214782198
ATPsynC,13.5662573735,13.9112864574,0.00100475242783,15.5957671848
CG9253,6.00701960397,0.0,0.00130526710377,20.2603559847
Fas3,7.24805788633,0.0,0.00139888360254,21.7134712786
Blos2,3.5001485581,0.0,0.00142779274305,22.1621989576
TER94,9.54987836053,8.27233296491,0.00147282307527,22.8611597743
nAChRalpha3,6.8968116295,8.26097607854,0.00147282307527,22.8611597743
UBL3,4.38723722973,1.78801658454,0.0015028760232,23.3276416321
spi,8.12146548559,0.63776590521,0.00157976558932,24.5211214775
CG3499,0.0,8.05912941053,0.00166076442124,25.7783853464
CG7656,8.07366493319,6.48640604359,0.00170367355559,26.4444209299
CG32392,0.0,6.31288486984,0.00194175002269,30.1398438521
insv,0.0,5.21729245611,0.00194175002269,30.1398438521
CG31475,0.0,6.84349103407,0.00194175002269,30.1398438521
pigeon,0.0,7.60183853931,0.00196453706682,30.4935443511
Atg18a,7.86317179973,2.42422459606,0.00204982228844,31.8173415611
