symbol,medianA,medianB,pvalue,pvalue_adj
Ac76E,7.970785442,0.0,9.33764556343e-06,0.144938934436
hppy,0.445835460815,7.90788259624,1.59244638206e-05,0.247179527424
CG42342,6.39539162278,10.2209387724,1.80085268433e-05,0.279528353662
CG31814,0.0,6.76376979647,1.87923035691e-05,0.291694136
CG31676,9.08585387243,0.0,1.87923035691e-05,0.291694136
beat-VI,0.0,7.64551584995,1.87923035691e-05,0.291694136
CG31997,0.0,9.68995998532,5.07473053166e-05,0.787699673125
regucalcin,6.86175307455,9.35120995021,7.53563582746e-05,1.16968139314
CG31388,0.0,7.96626338615,0.000128393684088,1.99292676441
Sulf1,6.6604278368,0.0,0.000166728382707,2.58795795638
CG34393,0.0,6.65923794464,0.000191695863289,2.97550318997
CG34402,0.0,7.16441551703,0.000191695863289,2.97550318997
CG45186,8.5919445396,6.18262433257,0.000238840864478,3.70728789844
CG15537,10.6131174446,9.33997538437,0.000238840864478,3.70728789844
PVRAP,8.30320825617,5.77881440195,0.00029277029605,4.54438053528
betaTub56D,11.4026313409,10.2262946779,0.000296021072947,4.59483909429
Sep1,0.0,8.10187001986,0.000400152907868,6.21117343593
GV1,8.14582904056,0.0,0.000401100451324,6.22588120545
CG10527,7.44340583574,8.47246186576,0.00045046779818,6.99216116335
mCD8-GFP,12.271541719,10.1518396375,0.000551706634864,8.56359038637
CG14669,0.0,6.10180161035,0.000614632174771,9.5403206168
miple1,11.4389986003,11.125165938,0.000676970721546,10.5079395398
hth,8.72637325185,2.24414636962,0.000687455978547,10.670691699
Nmdar2,5.50037367403,7.22770036846,0.000818314149943,12.7018722354
CG13532,8.15147350599,0.0,0.0008252767023,12.8099449731
Hsp70Bb,6.57462910913,4.72089435047,0.000826019728117,12.8214782198
nAChRalpha3,6.8968116295,8.17481859315,0.000826019728117,12.8214782198
betaCOP,0.0,8.39121192062,0.000884060424462,13.7223859085
FoxP,5.41551317495,0.0,0.0010139646038,15.7387585801
CG12004,0.0,8.17189351053,0.00107504485903,16.6868463018
CG9855,0.0,6.45946631561,0.00126291265293,19.6029301988
CG9586,4.80424152022,0.0,0.00126291265293,19.6029301988
RpL34a,0.0,5.39790823903,0.00132692743138,20.5965675898
CG10188,0.0,5.41767586777,0.00137316776791,21.3143100934
plum,4.65101457122,0.0,0.00138410255674,21.4840398857
Fas3,7.46098680966,0.0,0.00139888360254,21.7134712786
Tango14,0.0,2.33829199603,0.00142779274305,22.1621989576
CG4281,5.86785352463,0.0,0.00142779274305,22.1621989576
CG11317,0.0,3.83776760514,0.00142779274305,22.1621989576
CG6765,6.91452187207,0.0,0.00142779274305,22.1621989576
CCKLR-17D3,7.22022289908,0.0,0.00142779274305,22.1621989576
UQCR-C2,10.7103356735,11.255270615,0.00147282307527,22.8611597743
TBCB,0.0,5.12053406765,0.00156917424068,24.3567225639
AnxB10,6.14716614076,8.44936869414,0.00158420443385,24.5900212222
Rtf1,0.0,6.08085277324,0.00166511987523,25.8459907033
mspo,4.41064178701,8.92795972915,0.00170367355559,26.4444209299
