symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,10.0193233976,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.5582842525,1.30214778044e-05,0.20211937848
hth,10.8037537345,0.0,1.46238770616e-05,0.22699181975
Cbp53E,11.7312632546,8.11689213355,1.82922767695e-05,0.283932720016
caup,0.0,3.75430177225,1.87923035691e-05,0.291694136
acj6,0.0,6.03782646329,3.03089062316e-05,0.470454842527
CG31676,9.35540606021,0.0,3.03089062316e-05,0.470454842527
DIP-eta,5.78115006807,0.0,3.03089062316e-05,0.470454842527
CG42339,8.94145537759,0.0,3.03089062316e-05,0.470454842527
Cow,7.97586012089,0.0,5.84228460578e-05,0.906839416509
CG30089,0.0,6.05771980189,6.2654363942e-05,0.972521037107
rdgC,8.30233977105,0.0,6.53782854001e-05,1.01480174598
GluClalpha,9.92012974222,7.38544732725,9.80807368533e-05,1.52240919744
CG14024,8.07703822972,9.0007193549,0.000144911179874,2.249311334
dpr15,3.10000405772,0.0,0.000191695863289,2.97550318997
heph,0.0,5.86386044169,0.000191695863289,2.97550318997
CG6329,9.73641228255,8.9781189229,0.000192101013517,2.98179193182
CG31221,9.01621525141,10.1818212408,0.000238840864478,3.70728789844
nAChRalpha1,7.48218326421,0.395480257813,0.000252741572561,3.92305468928
Non1,9.04389621128,0.0,0.000324921862813,5.04343715458
Octbeta1R,0.0,7.52806564728,0.000403173249831,6.25805518388
rgn,9.28851355425,7.021470426,0.00045046779818,6.99216116335
ed,0.0,3.3456257358,0.000505276606553,7.84290348691
Tsp29Fb,0.0,7.15365700759,0.000542166280837,8.41550501115
dpr3,0.0,3.16225448171,0.000542166280837,8.41550501115
CG4670,2.62068059853,8.82702091684,0.000589256886706,9.14644539545
pyd,6.52789399106,0.0,0.000606251512059,9.41023597018
CG42342,9.46826290513,8.24464703246,0.0006753339723,10.482533918
CG43729,9.05903542703,10.4422932251,0.000676970721546,10.5079395398
Scp2,10.1430049574,0.0,0.000741696486829,11.5126128686
CR43809,0.0,4.50017590296,0.000755145951111,11.7213754531
CG30116,8.04345589236,0.0,0.000755145951111,11.7213754531
sda,5.15187054503,0.0,0.0008252767023,12.8099449731
Fur1,5.93765803421,0.0,0.000924738753125,14.353794926
CG42784,7.51529667079,0.0,0.000924738753125,14.353794926
nAChRalpha6,8.82752867992,6.70285076513,0.00100475242783,15.5957671848
ST6Gal,9.96799871047,10.8195973597,0.00100475242783,15.5957671848
beat-IV,6.9466519286,0.0,0.00108495092142,16.8406082023
bru-3,0.0,6.35331227341,0.00111189349193,17.2588107817
CG14806,8.09737223847,4.24466521033,0.00116590237631,18.0971366851
ssx,4.32403112027,7.02565555074,0.00121571023979,18.870254342
DIP-theta,6.7200884821,0.0,0.00126291265293,19.6029301988
