symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,9.56706735045,5.13445780758e-06,0.0796970540892
acj6,0.0,5.99513508799,9.33764556343e-06,0.144938934436
hth,10.5428023782,3.82355426683,1.59244638206e-05,0.247179527424
Cbp53E,11.5563521578,8.51451954281,1.80085268433e-05,0.279528353662
Scp2,9.55713608284,0.0,1.87923035691e-05,0.291694136
DIP-eta,5.04723413143,0.0,1.87923035691e-05,0.291694136
CG31676,9.1274570695,0.0,1.87923035691e-05,0.291694136
Drep3,0.0,9.37898714694,2.17621775141e-05,0.337792519373
CG42339,9.66020167044,0.0,3.92892831811e-05,0.609848253538
CG30089,0.0,6.98788423582,6.2654363942e-05,0.972521037107
Fife,7.46974993409,0.0,6.2654363942e-05,0.972521037107
CG7985,8.97426871552,0.0,6.27394017787e-05,0.973840994409
CG2082,0.0,11.2393431106,6.44528980183e-05,1.00043788304
ND-ASHI,9.28393246344,8.14157252851,9.80807368533e-05,1.52240919744
CG9328,10.9006789491,9.17261259672,9.80807368533e-05,1.52240919744
Spase25,6.41930449,0.0,0.000172783050115,2.68193850389
mub,8.07153558981,3.38729343185,0.000189856989075,2.94696018442
IP3K2,7.28076311508,0.0,0.000191695863289,2.97550318997
sda,7.67261622763,0.0,0.000202898452929,3.14938978637
nAChRalpha1,6.89531355553,0.0,0.000208451288533,3.23558090061
CG6454,0.0,7.21631898837,0.000232858915968,3.61443609366
CG45263,0.0,6.75154732882,0.000302203756243,4.69080670441
rdgC,7.63650705629,0.0,0.000376532512733,5.84453766264
Cka,8.85893860297,0.60430772512,0.000410945679018,6.37869882972
igl,10.8402818334,11.6614300004,0.00045046779818,6.99216116335
CG12112,0.0,6.95043277904,0.000505276606553,7.84290348691
CG1537,5.90559461241,0.0,0.000542166280837,8.41550501115
run,0.0,5.6631138051,0.000542166280837,8.41550501115
dpr15,4.74097957843,0.0,0.000542166280837,8.41550501115
Sema-2b,0.0,6.23700450071,0.000542166280837,8.41550501115
dpr6,0.0,7.35431933971,0.000599404297285,9.30395350247
Ssrp,0.0,8.17445094501,0.000634034528259,9.84148394764
apt,8.7155054775,0.0,0.000634034528259,9.84148394764
dpr21,7.72932564624,5.30209060834,0.0006753339723,10.482533918
ATPsynCF6,9.71525170292,9.27300365305,0.000676970721546,10.5079395398
GluClalpha,9.52785479876,7.56190243672,0.000676970721546,10.5079395398
mCD8-GFP,12.585833606,11.5438491559,0.000676970721546,10.5079395398
pyd,6.12962985412,0.0,0.000912230265352,14.1596381788
Con,7.7271623027,4.42228584027,0.000995695028697,15.4551782354
Eaat2,10.9771153014,10.1522882998,0.00100475242783,15.5957671848
ST6Gal,9.33358892214,10.6609576362,0.00100475242783,15.5957671848
CG8149,6.82663806053,0.0,0.00113640233548,17.6392370513
RpL10,8.16520733829,6.7305578376,0.00121836740449,18.9114988526
beat-Ib,5.8001736195,0.0,0.00126291265293,19.6029301988
CG44774,0.888922567585,5.83690751513,0.00130526710377,20.2603559847
twit,3.64913495374,0.0,0.00142779274305,22.1621989576
Noa36,0.0,5.4873062061,0.00142779274305,22.1621989576
beat-IIIc,5.02986771357,0.0,0.00142779274305,22.1621989576
Cortactin,0.0,5.37251024687,0.00142779274305,22.1621989576
tsh,1.18332062868,0.0,0.00142779274305,22.1621989576
Pih1D1,2.61575940756,0.0,0.00142779274305,22.1621989576
maf-S,4.62705640982,7.18945913478,0.00144200028716,22.3827284574
CG33543,9.04701466058,6.88345305662,0.0015028760232,23.3276416321
l(3)03670,9.59463042146,7.68039170776,0.00177131609779,27.4943684699
CG31221,9.07904375243,10.7941242788,0.00177491931746,27.5502976456
Dyrk3,3.87216784981,0.0,0.00209647825016,32.541535399
RpL13A,7.37522844962,9.34561835675,0.00213238245702,33.0988404978
CG42750,0.0,6.92748247527,0.00237647722609,36.8876795033
CG13650,8.95721385136,3.60933523326,0.00238848778678,37.0741074264
CG15704,4.98631259257,7.66192903805,0.00245863997421,38.1630096797
mspo,9.15176406015,6.01993576667,0.00253472786605,39.3440459369
spir,8.26928461026,9.58404264299,0.00253472786605,39.3440459369
CG17778,9.72844422926,8.40707690045,0.00254913889704,39.5677339598
CG15537,11.5007243763,8.6205170055,0.0025539527125,39.6424540034
CG31751,0.0,8.50797197248,0.0027480089233,42.6545945074
CG32700,8.59512477026,7.0958266559,0.00304394018393,47.248039535
Adar,6.44527964718,0.0,0.00309625179863,48.0600204183
CG5412,0.0,7.07526417078,0.00344965301637,53.54551412
Tsp29Fb,0.0,2.29085626699,0.00352705120034,54.7468887317
CG7011,1.0271464639,0.0,0.00352705120034,54.7468887317
Taf6,0.0,3.34731544725,0.00352705120034,54.7468887317
DIP-beta,0.0,0.60430772512,0.00352705120034,54.7468887317
CG31674,3.38979388448,0.0,0.00352705120034,54.7468887317
TrissinR,2.96435814477,0.0,0.00352705120034,54.7468887317
caup,0.0,2.16241193595,0.00352705120034,54.7468887317
Rbcn-3B,1.10828191782,0.0,0.00352705120034,54.7468887317
CRMP,0.691785007655,0.0,0.00352705120034,54.7468887317
CG8475,5.4161067601,0.0,0.00359044554028,55.7308956763
CG6329,9.78469689971,9.01888104153,0.0036299774941,56.3445106633
CR32111,0.0,6.8392979962,0.00364894251992,56.6388857942
DIP-theta,5.32580034482,0.0,0.00364894251992,56.6388857942
Sgt,0.0,8.01971527508,0.00373444360938,57.9660337047
mRpS22,7.57024062537,0.0,0.00373444360938,57.9660337047
CG5608,0.0,6.63500412994,0.00373444360938,57.9660337047
rad,0.0,5.92486663009,0.00383068638571,59.4599140789
CG42392,7.89392128226,4.86572380459,0.00394912500293,61.2983182955
Ddc,10.0220578591,9.29488181439,0.00430777905941,66.8653465602
CG10947,0.0,6.68853130283,0.00447257634231,69.4233299853
PVRAP,0.0,6.83506415668,0.00447257634231,69.4233299853
dpr3,0.0,4.69427339354,0.00447257634231,69.4233299853
hppy,0.0,7.65131887906,0.00494472589418,76.7520353295
nAChRalpha6,8.92507143009,7.49083825077,0.00509655249555,79.108687836
levy,10.5124245121,10.0223233595,0.00509655249555,79.108687836
futsch,10.0268701449,9.34409277109,0.00509655249555,79.108687836
lola,6.71308543229,8.84327570509,0.00509655249555,79.108687836
Hsp70Bb,6.06606507258,5.09562684137,0.00509655249555,79.108687836
CG32052,8.298554555,0.0,0.0053005570512,82.2752465487
Ten-m,0.0,3.15393339525,0.00545841288083,84.7254847362
Swip-1,7.80830121711,3.1329037813,0.00550127178673,85.3907406736
Cow,7.72893850363,0.0,0.00550127178673,85.3907406736
CG4404,7.40166376883,0.0,0.00571579258186,88.7205324556
CG10362,0.0,7.04869605907,0.00587556329273,91.2004934297
CG10366,8.28044699053,0.0,0.00587556329273,91.2004934297
Hsp83,11.5214712762,11.0231345741,0.00601141270381,93.3091479885
PsGEF,7.65136156363,0.0,0.00653613018271,101.453812696
CG9323,0.0,2.01861010874,0.00663282670479,102.954736112
Npc2a,5.09403690448,0.0,0.00663282670479,102.954736112
Dop2R,3.93945351153,0.0,0.00663282670479,102.954736112
SPR,1.82203614714,0.0,0.00663282670479,102.954736112
CG6583,4.1387620862,0.0,0.00663282670479,102.954736112
Sirt2,8.44648730012,6.78669394884,0.00686066545951,106.491249262
HPS1,8.42697441301,0.0,0.00692625716683,107.509363743
fru,8.11216183455,7.13310785073,0.00727208916095,112.877367956
CG32486,8.79126145511,7.80893372096,0.00764579663351,118.678055345
Mat1,0.0,7.85594772202,0.00781736611063,121.341156769
CG10103,0.0,7.05797832303,0.00781736611063,121.341156769
E(bx),0.0,1.52635543426,0.00781736611063,121.341156769
Trn,5.81810053997,0.0,0.00781736611063,121.341156769
RpS5a,6.05197475706,8.07023769192,0.0081700454027,126.815444741
Mppe,0.0,0.0,0.00823657790279,127.848162207
Trim9,0.0,0.0,0.00823657790279,127.848162207
CG12341,0.0,0.0,0.00823657790279,127.848162207
CG6488,0.0,0.0,0.00823657790279,127.848162207
CG1104,0.0,0.0,0.00823657790279,127.848162207
CG9915,0.0,0.0,0.00823657790279,127.848162207
BicD,0.0,0.0,0.00823657790279,127.848162207
CG13090,0.0,0.0,0.00823657790279,127.848162207
CG4615,0.0,0.0,0.00823657790279,127.848162207
CG1402,0.0,0.0,0.00823657790279,127.848162207
dpr18,0.0,0.0,0.00823657790279,127.848162207
CG8067,0.0,0.0,0.00823657790279,127.848162207
vvl,0.0,0.0,0.00823657790279,127.848162207
cnk,0.0,0.0,0.00823657790279,127.848162207
PP2A-B',0.0,0.0,0.00823657790279,127.848162207
Drl-2,0.0,0.0,0.00823657790279,127.848162207
Asciz,0.0,0.0,0.00823657790279,127.848162207
CG10903,0.0,0.0,0.00823657790279,127.848162207
