symbol,medianA,medianB,pvalue,pvalue_adj
Cbp53E,11.5563521578,7.20868948824,1.80085268433e-05,0.279528353662
DIP-eta,5.64538087658,0.0,1.87923035691e-05,0.291694136
C15,0.0,9.45489423169,1.87923035691e-05,0.291694136
acj6,0.0,6.77960128663,1.87923035691e-05,0.291694136
CG7985,8.7845086293,0.0,3.03089062316e-05,0.470454842527
CG2082,2.48433155383,11.5702581791,3.36991026146e-05,0.523077470784
hth,10.1817196985,0.0,3.98264953155e-05,0.618186860287
IP3K2,7.79336310835,0.0,6.2654363942e-05,0.972521037107
CG42339,8.98642504183,0.0,6.2654363942e-05,0.972521037107
Non1,9.71421424478,0.0,6.44528980183e-05,1.00043788304
rdgC,7.2171385914,0.0,0.000105103273193,1.6314130065
Fas2,8.5659605815,0.430792779987,0.000313816746402,4.87106353765
oaf,0.0,6.01347881161,0.000401100451324,6.22588120545
Scp2,8.77118444909,0.0,0.000431569263818,6.69881811299
mtd,6.8967260578,8.79388650178,0.00045046779818,6.99216116335
CG1402,0.0,3.44307308498,0.000542166280837,8.41550501115
Bdbt,6.7873631318,0.0,0.000542166280837,8.41550501115
CG30089,0.0,4.89935371229,0.000542166280837,8.41550501115
CG31224,6.02699037121,0.0,0.000542166280837,8.41550501115
CG32544,0.0,5.09637892255,0.000542166280837,8.41550501115
PVRAP,0.0,7.41950836401,0.000542166280837,8.41550501115
caup,0.0,1.68238936869,0.000542166280837,8.41550501115
CG7781,11.2350780814,10.4521014475,0.00055308909204,8.58504888665
Cyt-c-p,11.8890803438,10.9110532861,0.00055308909204,8.58504888665
Raf,0.0,8.78332159394,0.000599404297285,9.30395350247
dpr6,0.0,7.13523430158,0.000634034528259,9.84148394764
SdhD,10.7413279245,9.4033068331,0.0006753339723,10.482533918
CG32225,11.1427072284,9.67950029625,0.000676970721546,10.5079395398
sda,6.22345195159,0.0,0.000722323516879,11.211905629
CG34200,5.87115518492,2.58897653569,0.00073042034003,11.3375845179
CG8216,8.81487837896,0.0,0.000924738753125,14.353794926
ABCB7,5.80382952824,0.0,0.000986770339198,15.316649205
RpL36,8.74657463042,7.80780057245,0.00100475242783,15.5957671848
CG43729,8.61909545082,10.4523047597,0.00100475242783,15.5957671848
mub,7.88772908871,2.73041934119,0.00120776019566,18.746853757
Rab35,6.58034786009,0.0,0.00126291265293,19.6029301988
DIP-beta,0.0,1.61779936561,0.00142779274305,22.1621989576
twit,6.91852885664,0.0,0.00142779274305,22.1621989576
Got1,6.25306021475,0.0,0.00142779274305,22.1621989576
PlexB,3.89396119366,0.0,0.00171566764987,26.6305932612
unc-104,10.4879348507,11.1329141053,0.00177491931746,27.5502976456
CG44242,9.01470538705,8.07472148531,0.00177491931746,27.5502976456
cpo,8.69458401555,9.65471038901,0.00177491931746,27.5502976456
RpL31,7.70939281957,5.8699233662,0.00177491931746,27.5502976456
CG7149,0.0,5.97185718742,0.00194175002269,30.1398438521
RpL9,7.64007172532,5.18356223257,0.00204982228844,31.8173415611
Swip-1,7.72906408477,6.13024309551,0.00204982228844,31.8173415611
CG42392,7.79086219952,5.72789735965,0.00212820989586,33.0340740036
blw,13.5190165102,13.2696147171,0.00213238245702,33.0988404978
Sema-2b,0.0,5.55402661668,0.00226897640886,35.2190518183
apt,8.1649564364,0.0,0.00249812865642,38.7759530049
CG12736,7.4120454519,0.0,0.00252281894047,39.159195594
CG6182,5.42149117997,0.0,0.00255244743278,39.6190890516
ND-19,9.3604919989,8.70810665286,0.0025539527125,39.6424540034
Parp,6.35879903613,0.0,0.0026641228572,41.3525149895
rap,8.04767730822,2.10673940272,0.00274804120397,42.6550955681
beat-IIIc,5.3938862889,0.0,0.0029371589306,45.5905809207
CG14186,9.30210252795,5.64181903372,0.00293985221537,45.632386087
CG1317,7.79302504296,4.07857867348,0.0030273744898,46.9909068306
elm,9.6640781907,8.21987075373,0.00304394018393,47.248039535
levy,10.628229047,9.76357745697,0.00304947296561,47.3339193722
ox,7.49858977091,6.56959480248,0.00304947296561,47.3339193722
CR41535,5.19777627851,5.8453337364,0.00304947296561,47.3339193722
Eaat2,11.0322488338,9.83771981008,0.00304947296561,47.3339193722
Rpt3,8.10026757287,0.872849988915,0.00311817639929,48.4003340699
mRpL3,7.02848092181,0.0,0.00319987388694,49.6684424731
CG1358,9.77565291647,1.21892202878,0.00328417982783,50.9770392876
beat-VII,0.0,8.31920538837,0.00331651673921,51.4789728259
CG5861,6.87253118984,0.0,0.00340824673532,52.9028058256
dpr15,0.623080041345,0.0,0.00352705120034,54.7468887317
CG12768,2.10301764952,0.0,0.00352705120034,54.7468887317
Nelf-E,2.74620402886,0.0,0.00352705120034,54.7468887317
CG12541,0.0,0.398163831327,0.00352705120034,54.7468887317
rhea,0.647768981195,0.0,0.00352705120034,54.7468887317
Nmd3,2.81239344269,0.0,0.00352705120034,54.7468887317
Srp14,2.48552343813,0.0,0.00352705120034,54.7468887317
Snoo,0.0,0.884112291145,0.00352705120034,54.7468887317
CG9896,3.27806023358,0.0,0.00352705120034,54.7468887317
svr,8.7041977171,6.39177910874,0.00356688708755,55.3652213729
unk,0.0,0.731948155183,0.00359044554028,55.7308956763
CG10960,8.53082560579,6.86077030836,0.00360467167913,55.9517138034
28SrRNA-Psi:CR45859,4.68239724093,5.27423155811,0.0036299774941,56.3445106633
RhoGEF3,7.12072392306,8.09169693929,0.0036299774941,56.3445106633
mt:ATPase6,10.8389474886,9.53041859727,0.0036299774941,56.3445106633
ATPsynD,11.0154530226,10.6053359381,0.0036299774941,56.3445106633
mura,6.61899560792,8.69845027968,0.0036299774941,56.3445106633
dpr18,0.0,5.5755031633,0.00364894251992,56.6388857942
Hmu,8.19929941105,0.0,0.0037223401689,57.7781641017
CG3420,6.30822111972,0.0,0.00374224898317,58.0871887168
CG4829,0.0,8.01153243964,0.00398864969176,61.9118205154
CG32069,4.67830782687,0.0,0.00398864969176,61.9118205154
CG1927,7.90376750066,0.0,0.0040621522325,63.0527269528
Ktl,10.5523303196,9.35230468712,0.00430777905941,66.8653465602
CG9328,10.5861692926,9.78881555863,0.00430777905941,66.8653465602
mt:CoI,13.2396393186,12.251822874,0.00430777905941,66.8653465602
mt:CoII,11.9954993664,10.8618506641,0.00430777905941,66.8653465602
CG42307,2.44174176637,0.0,0.00437130777888,67.8514393438
CG10947,0.0,6.45292830026,0.00447257634231,69.4233299853
Pka-R2,5.54444343984,0.640660138505,0.00464668781242,72.1258882244
Drep3,2.75834508906,8.40808362547,0.00464668781242,72.1258882244
beat-Ic,3.87680555457,0.0,0.00478027785591,74.1994728795
CG11248,6.83803644306,0.0,0.00493654540271,76.6250577408
