symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.57849220303,0.0,7.09569794446e-06,0.110139423494
CG2082,0.0,11.8863460404,7.09569794446e-06,0.110139423494
Cbp53E,11.6564848447,7.80373252182,1.82210136462e-05,0.282826573817
CG43729,9.02689454693,10.8191800743,1.82922767695e-05,0.283932720016
C15,0.0,9.22238193148,1.87923035691e-05,0.291694136
acj6,0.0,4.55541794906,1.87923035691e-05,0.291694136
GluClalpha,9.06845219123,7.06046217174,3.0028801484e-05,0.466107056635
CG42339,8.60728543303,0.0,3.03089062316e-05,0.470454842527
Scp2,8.89060087759,0.0,4.50342179868e-05,0.699021131592
rdgC,7.7950427718,0.0,5.07461880929e-05,0.787682331577
CG30089,0.0,6.72914328254,6.2654363942e-05,0.972521037107
l(2)gd1,5.25090837058,0.0,6.2654363942e-05,0.972521037107
hth,10.5969490905,8.01116176543,0.000186526072248,2.89525769344
mspo,8.61891913076,1.56568985857,0.000186526072248,2.89525769344
caup,0.0,3.80591698212,0.000191695863289,2.97550318997
Tsp29Fb,0.0,7.67017507589,0.000191695863289,2.97550318997
CG1402,0.0,3.9117268681,0.000191695863289,2.97550318997
lic,0.0,8.64210453197,0.000208451288533,3.23558090061
RpL29,6.99209702836,5.6432490233,0.000296021072947,4.59483909429
apt,7.55783522035,0.0,0.000318096176154,4.93748884626
Drep3,0.0,9.33463415825,0.000324921862813,5.04343715458
nAChRalpha6,9.21668302365,6.84889639558,0.000361849544811,5.61662863455
CG12541,0.0,6.59150394404,0.000386116522864,5.99330066789
CG31345,6.94491328529,0.0,0.000481941769935,7.48070015293
CG9896,6.50185628385,0.0,0.000505276606553,7.84290348691
CG32700,9.03225286009,4.70921314288,0.00053936770472,8.37206551266
dpr6,0.0,5.66800115447,0.000542166280837,8.41550501115
Atg8a,10.2142836601,10.7303126285,0.00055308909204,8.58504888665
igl,10.9401668686,11.9664283122,0.00055308909204,8.58504888665
gish,5.65474962871,0.0,0.00058095302954,9.01755292451
