symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,6.06731893909,0.0,5.13445780758e-06,0.0796970540892
hth,10.5610975266,3.66346979906,1.59244638206e-05,0.247179527424
rdgC,7.79352095648,0.0,1.60001094808e-05,0.248353699361
CG7985,9.01115283333,0.0,4.50342179868e-05,0.699021131592
CG2082,0.0,11.3638525014,5.07473053166e-05,0.787699673125
acj6,0.0,4.12218680827,6.2654363942e-05,0.972521037107
DIP-theta,6.54916321332,0.0,6.2654363942e-05,0.972521037107
C15,0.0,9.20024225784,6.2654363942e-05,0.972521037107
Cbp53E,11.5406240363,8.0256343084,9.77664335981e-05,1.51753058231
rdgB,6.04380492617,0.0,0.000119835656962,1.86008906736
CG42339,9.20083602278,0.0,0.000148206009967,2.30045368671
hoe2,8.41881748521,0.398043723701,0.000173095085209,2.68678191261
CG9896,7.63846116135,0.0,0.000191695863289,2.97550318997
oaf,0.0,5.97984866144,0.00019433835008,3.01651986994
Cyt-c-p,11.838367432,11.2968867634,0.000238840864478,3.70728789844
Fer2LCH,9.86271605639,10.816614607,0.000296021072947,4.59483909429
mCD8-GFP,12.3722258281,11.0485624337,0.000365740995907,5.67703173847
CSN8,6.12251406888,0.0,0.000380367227827,5.90406011033
p,0.0,8.90559578086,0.00039571968757,6.14236099045
CG30089,0.0,6.16406965428,0.000401100451324,6.22588120545
IP3K2,8.33403270277,0.0,0.000542166280837,8.41550501115
CG32069,3.50888444805,0.0,0.000542166280837,8.41550501115
mtd,6.59605761191,9.29717411794,0.000547573038485,8.49942870336
Arl4,7.11322373836,8.65028673084,0.000660719458141,10.2556874293
CG34353,5.96360759089,0.0,0.0010075321246,15.6389136381
fru,7.75489011029,0.92147069943,0.00112748770879,17.5008642158
Scp2,8.8087851349,0.0,0.00113640233548,17.6392370513
CG14186,9.2396273883,7.15613553521,0.00120776019566,18.746853757
CG15765,7.29731682265,3.08990464438,0.00120776019566,18.746853757
kek1,7.8575314409,5.92383888794,0.00121571023979,18.870254342
CG9384,0.0,4.06348412054,0.00142779274305,22.1621989576
beat-VI,0.0,4.46517073989,0.00142779274305,22.1621989576
CG32392,0.0,3.52336833481,0.00142779274305,22.1621989576
dpr18,0.0,4.55299856513,0.00142779274305,22.1621989576
NfI,2.02288357333,0.0,0.00142779274305,22.1621989576
Mmp2,6.09680173761,0.0,0.00142779274305,22.1621989576
Dlip2,0.0,3.27235485909,0.00142779274305,22.1621989576
