symbol,medianA,medianB,pvalue,pvalue_adj
acj6,0.0,5.94403695242,5.13445780758e-06,0.0796970540892
DIP-eta,4.82171585611,0.0,7.09569794446e-06,0.110139423494
CG2082,0.0,11.7904793232,1.19642080675e-05,0.185708437624
hth,10.6520621357,8.09289077109,1.69078033979e-05,0.262442924342
Cbp53E,11.2656484312,8.1968708442,1.82210136462e-05,0.282826573817
C15,0.0,9.47310591711,1.87923035691e-05,0.291694136
CG7985,9.16464090928,0.0,2.02308250395e-05,0.314022866263
Moe,9.88367247922,5.44579873984,2.2595776672e-05,0.350731645504
Drep3,0.0,8.77630393192,3.11543104412e-05,0.483577206668
dpr3,0.0,7.47643259383,6.2654363942e-05,0.972521037107
apt,8.86927200118,0.0,0.00011600356004,1.80060725894
CG30089,0.0,7.06341696113,0.00011600356004,1.80060725894
CG11873,0.0,6.79664576614,0.000188639994557,2.92806999551
rdgC,7.46291952489,0.0,0.000208948864483,3.24330427451
CG42339,9.55469944527,0.0,0.000386116522864,5.99330066789
CG10512,0.0,7.80220407145,0.000505276606553,7.84290348691
CG12093,0.0,6.3328352141,0.000542166280837,8.41550501115
Pde11,0.0,2.43943184894,0.000542166280837,8.41550501115
dpr18,0.0,7.04618153644,0.000542166280837,8.41550501115
CG43729,8.66869570512,10.300373741,0.00055308909204,8.58504888665
CG13369,0.0,6.72430123153,0.000634034528259,9.84148394764
CG6966,0.0,3.96297326468,0.000634034528259,9.84148394764
Hsp83,12.1022247899,10.6731414005,0.000676970721546,10.5079395398
heph,0.0,6.81725902172,0.000746609897836,11.5888788342
Fas2,7.51035750308,2.4359972823,0.000787953959844,12.2306213647
Syt1,7.79398599712,9.65892231831,0.000826019728117,12.8214782198
sesB,12.7247273456,12.2364081871,0.000826019728117,12.8214782198
CG31676,9.40019905269,0.0,0.000919774599492,14.2767413333
CG17734,10.1389966302,9.11780427618,0.00121571023979,18.870254342
PVRAP,0.0,8.09463091351,0.00126291265293,19.6029301988
Mulk,7.0065604558,0.0,0.00126291265293,19.6029301988
CG6805,0.0,7.29659400822,0.00126291265293,19.6029301988
CG42747,0.0,1.34267541004,0.00142779274305,22.1621989576
pgant2,0.0,1.24951089574,0.00142779274305,22.1621989576
caup,0.0,2.44180464775,0.00142779274305,22.1621989576
CG5919,0.0,4.09223769132,0.00142779274305,22.1621989576
CG9896,6.86629397166,0.0,0.00156917424068,24.3567225639
CG44247,9.65432796499,7.14891557976,0.00177491931746,27.5502976456
CG6084,8.39787840459,0.0,0.001828432202,28.3809246395
