symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,9.35797266229,5.13445780758e-06,0.0796970540892
CG30089,0.0,6.02460317456,5.13445780758e-06,0.0796970540892
DIP-eta,5.65364376003,0.0,5.13445780758e-06,0.0796970540892
rdgC,7.44374465268,0.0,1.19642080675e-05,0.185708437624
CG2082,0.0,11.735194244,1.46238770616e-05,0.22699181975
Cbp53E,11.7102355533,8.73903808723,1.82922767695e-05,0.283932720016
hth,10.3710233149,2.63404421515,2.17429698644e-05,0.337494378236
CG43729,8.60521011918,10.3997241636,2.34743628248e-05,0.364369059766
acj6,0.0,5.54733169932,6.2654363942e-05,0.972521037107
Scp2,9.87932061996,0.0,6.2654363942e-05,0.972521037107
igl,10.7846835006,11.7775638369,7.78979465439e-05,1.20913192626
trio,0.0,7.53744825264,8.30327653547e-05,1.28883458384
Drep3,0.712198606905,8.52521427119,0.000138338286964,2.14728689026
Fife,6.0434033822,0.0,0.000148206009967,2.30045368671
GluClalpha,9.46079279002,7.41629328701,0.000154022352814,2.39073496038
IP3K2,7.79336310835,0.0,0.000191695863289,2.97550318997
PVRAP,0.0,7.7920614368,0.000191695863289,2.97550318997
Task7,0.0,8.16121830149,0.000191695863289,2.97550318997
dpr18,0.0,7.51891773886,0.000191695863289,2.97550318997
twit,7.60986890772,0.0,0.000191695863289,2.97550318997
smt3,7.2838256966,8.71925850489,0.000238840864478,3.70728789844
dpr3,0.0,7.66025886614,0.000239209057348,3.71300298815
CG8216,9.15965785847,5.45815050884,0.000280015124478,4.34639476215
CG3955,8.78677984291,9.74780560412,0.000296021072947,4.59483909429
CG42339,8.38450802173,0.0,0.000302203756243,4.69080670441
Dyb,0.0,7.26591186014,0.000323022914551,5.01396167967
nAChRalpha6,9.0132883458,6.9133638135,0.00045046779818,6.99216116335
AsnRS,0.0,8.72943871374,0.000481941769935,7.48070015293
CG31676,8.70114083197,0.0,0.000505276606553,7.84290348691
ara,0.0,5.67371095259,0.000542166280837,8.41550501115
Vti1a,6.56195331618,0.0,0.000542166280837,8.41550501115
CG32204,4.4712851688,0.0,0.000542166280837,8.41550501115
beat-IV,7.06183680049,0.0,0.000599404297285,9.30395350247
CG7985,8.72140632229,0.0,0.000673062917559,10.4472826064
apt,8.33364964771,0.0,0.000717893223829,11.1431386203
heph,0.0,6.63229201991,0.000741696486829,11.5126128686
CG42784,6.64726700398,0.0,0.000755145951111,11.7213754531
CG12541,0.0,5.6033318774,0.000919774599492,14.2767413333
ST6Gal,9.56132652395,10.4561783251,0.00100475242783,15.5957671848
l(3)03670,9.1486733887,8.08143737026,0.00121836740449,18.9114988526
Cyt-c-p,11.8198685265,11.148652072,0.00121836740449,18.9114988526
IA-2,11.7459526761,10.816233139,0.00121836740449,18.9114988526
Parp,5.06608100216,0.0,0.00123829633922,19.2208357774
oaf,0.0,5.49994745123,0.00126291265293,19.6029301988
Octbeta1R,0.0,8.29528114692,0.00137316776791,21.3143100934
CG4557,0.0,7.29189793898,0.00142779274305,22.1621989576
ssp6,0.0,3.81129695513,0.00142779274305,22.1621989576
Dref,2.10469144198,0.0,0.00142779274305,22.1621989576
CG42674,3.99049075223,0.0,0.00142779274305,22.1621989576
dpr15,3.08849571445,0.0,0.00142779274305,22.1621989576
CG9896,6.65264855608,0.0,0.00142779274305,22.1621989576
Scox,7.39874817044,4.92817873228,0.00146044673523,22.6690542243
CG6329,9.7681532699,8.65323935946,0.00147282307527,22.8611597743
blw,13.5790041963,13.1726796984,0.00147282307527,22.8611597743
CG30116,7.34544202752,0.0,0.00161732083694,25.1040540309
CG9257,4.79832482737,6.27803301462,0.00170367355559,26.4444209299
lic,0.0,6.59781433296,0.00171566764987,26.6305932612
Got1,6.70519485627,0.0,0.00194175002269,30.1398438521
CG32069,2.78336300172,0.0,0.00194175002269,30.1398438521
CG31678,0.0,6.39622124493,0.00226897640886,35.2190518183
CG1402,0.0,4.34018144058,0.00228171554653,35.4167887132
Taf6,0.0,6.96026582583,0.00228171554653,35.4167887132
l(1)G0196,0.0,6.39905626989,0.00242461696602,37.6349045466
CG8323,8.45232741777,5.32269208279,0.00274804120397,42.6550955681
nAChRalpha1,5.96665958404,0.0,0.00285052336252,44.245823633
CR43809,2.81446585721,4.46986032543,0.00293985221537,45.632386087
CG15765,7.43992139837,2.54533105341,0.00299439011492,46.4789233637
CG14853,8.14065944462,5.54136853545,0.0030273744898,46.9909068306
CG31221,8.96686961852,10.3369273601,0.00304947296561,47.3339193722
mahe,4.08734861601,0.0,0.00307529397712,47.7347131128
CG10132,5.7491170623,1.77499025734,0.0031244049632,48.4970138387
CG4239,7.35091472878,0.0,0.00340824673532,52.9028058256
sda,4.89590716663,0.0,0.00340824673532,52.9028058256
MESR4,0.0,1.74389759553,0.00352705120034,54.7468887317
DIP-beta,0.0,0.884112291145,0.00352705120034,54.7468887317
CG1537,1.85825844128,0.0,0.00352705120034,54.7468887317
DIP-theta,2.69140653562,0.0,0.00352705120034,54.7468887317
CG14535,0.0,2.25038852424,0.00352705120034,54.7468887317
CG6583,2.7041421653,0.0,0.00352705120034,54.7468887317
SAK,0.777613244055,0.0,0.00352705120034,54.7468887317
CG9705,0.0,6.51529427291,0.00359044554028,55.7308956763
Opa1,8.68612491554,5.71191082216,0.00360467167913,55.9517138034
CG15537,11.4526903322,8.65570053242,0.00362364234065,56.2461764115
mtd,6.60532484984,8.68621096714,0.0036299774941,56.3445106633
eIF2B-beta,2.23482906156,5.98524893295,0.00372253114903,57.7811284952
CG45263,0.0,6.65519469019,0.00398864969176,61.9118205154
sd,0.0,3.40238526093,0.0041336439511,64.162421409
CG15651,7.33861606362,9.16692842021,0.0042357913158,65.7479528038
kek1,7.47695537967,5.78916112534,0.00430055266134,66.7531784093
ssx,4.44419546562,7.15899993818,0.00430055266134,66.7531784093
ND-ASHI,9.04558264856,7.79054013671,0.00430777905941,66.8653465602
beat-Ic,2.73852234228,0.0,0.00447257634231,69.4233299853
CG10465,0.0,6.24709845382,0.00447257634231,69.4233299853
CR43481,0.0,1.70233697454,0.00447257634231,69.4233299853
mor,6.91373201805,0.0,0.00450661135093,69.9516213891
Tom70,8.42256580032,0.0,0.00451760512169,70.1222666989
CG1674,7.92905459596,0.0,0.00493654540271,76.6250577408
rogdi,9.64754197991,6.71281848476,0.00501472614484,77.8385792202
CG10527,7.42017415776,6.5376408046,0.00501472614484,77.8385792202
Gycalpha99B,10.5943605214,11.3770671242,0.00509655249555,79.108687836
Eno,12.860011862,12.4952948431,0.00509655249555,79.108687836
CG32052,7.9429792593,0.0,0.00540745351568,83.9344934703
Pex5,0.0,7.67431999355,0.00544425276621,84.5056914371
gish,3.7868066428,0.0,0.00544425276621,84.5056914371
fru,8.13654738595,5.94828583618,0.00545010546949,84.5965370974
AstA-R1,2.5771502351,0.0,0.00545841288083,84.7254847362
Grasp65,1.39131272546,0.0,0.00545841288083,84.7254847362
Myo81F,0.0,1.58658050388,0.00545841288083,84.7254847362
