symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,4.50162417224,0.0,5.13445780758e-06,0.0796970540892
C15,0.0,8.98963405361,1.87923035691e-05,0.291694136
Scp2,9.11210473924,0.0,1.87923035691e-05,0.291694136
CG2082,0.0,11.7008430842,2.17621775141e-05,0.337792519373
nAChRalpha6,9.18878523513,7.25579714527,3.82914473375e-05,0.594359845572
CG42339,9.5079034141,0.0,5.07461880929e-05,0.787682331577
Cbp53E,11.7413366879,8.5162224115,6.1672877202e-05,0.957286399929
GluClalpha,9.60668279076,7.06050294386,6.1672877202e-05,0.957286399929
dpr6,0.0,7.39215023763,6.2654363942e-05,0.972521037107
acj6,0.0,5.34137902237,6.2654363942e-05,0.972521037107
fru,8.38216392536,0.92147069943,6.92728397833e-05,1.07525301912
Sema-2b,0.0,6.84900478144,0.000191427754366,2.97134160328
IP3K2,7.79336310835,0.0,0.000191695863289,2.97550318997
CG7985,9.16464090928,0.0,0.00019433835008,3.01651986994
hth,10.6718211584,8.02024008565,0.000232116999732,3.60292006985
rdgC,7.6493965533,0.0,0.000240683285505,3.73588595761
nAChRalpha2,9.79472382598,8.59937806036,0.00053936770472,8.37206551266
CG32104,0.0,4.26991903964,0.000542166280837,8.41550501115
caup,0.0,4.30348303747,0.000542166280837,8.41550501115
Fife,6.48623044059,0.0,0.000542166280837,8.41550501115
CG9896,7.54794665982,0.0,0.000542166280837,8.41550501115
CG42514,0.0,4.68766037801,0.000542166280837,8.41550501115
PVRAP,0.0,7.70576167773,0.000542166280837,8.41550501115
TrissinR,5.29889008191,0.0,0.000542166280837,8.41550501115
mspo,8.33864473441,1.96802173925,0.000660719458141,10.2556874293
CG42342,9.41690685424,7.77303567707,0.0006753339723,10.482533918
sbr,0.0,7.69770969844,0.000746008722863,11.5795473963
CG10947,0.0,7.83191213336,0.000792514928053,12.3014167132
sesB,12.7947120093,12.2969288999,0.000826019728117,12.8214782198
mt:CoI,13.007172362,12.3239369759,0.000826019728117,12.8214782198
Fas2,7.86979878482,0.608402450985,0.000882615531441,13.699958279
CG45050,8.57032100836,7.1742145548,0.00100475242783,15.5957671848
bru-3,0.0,5.81760287783,0.00112099897716,17.4001461234
Ccn,7.90286286043,0.0,0.00112099897716,17.4001461234
CG8602,5.56728930696,8.9147905254,0.00119195654579,18.5015495037
mt:CoII,11.9037574612,11.1073338879,0.00121836740449,18.9114988526
IA-2,11.6484257683,10.7261021412,0.00121836740449,18.9114988526
CG31676,9.51141102868,0.0,0.00125050505117,19.4103394042
Tsp29Fb,0.0,4.45648891875,0.00142779274305,22.1621989576
CG34383,0.0,2.18428158014,0.00142779274305,22.1621989576
dpr3,0.0,5.20456974357,0.00142779274305,22.1621989576
CG1402,0.0,1.11595903897,0.00142779274305,22.1621989576
Dop2R,3.93945351153,0.0,0.00142779274305,22.1621989576
GCS2beta,0.0,5.93359926417,0.00142779274305,22.1621989576
corn,0.0,6.1999628763,0.00142779274305,22.1621989576
ST6Gal,9.71610762186,10.8640390221,0.00147282307527,22.8611597743
mCD8-GFP,12.4686059143,11.825955272,0.00147282307527,22.8611597743
Hasp,9.95987165041,10.7187135186,0.00147282307527,22.8611597743
CG4557,0.0,6.5930733967,0.00156917424068,24.3567225639
pxb,0.0,6.08510290964,0.00156917424068,24.3567225639
heph,0.0,4.93691139924,0.00156917424068,24.3567225639
RpS23,0.375724612568,6.04124016645,0.00157976558932,24.5211214775
lic,0.0,8.49517252974,0.00171566764987,26.6305932612
igl,11.016137727,12.017656937,0.00177491931746,27.5502976456
Ddc,10.1274738954,9.32983082988,0.00177491931746,27.5502976456
CG9328,10.8552585588,10.0549067027,0.00177491931746,27.5502976456
Drep3,0.712198606905,8.86390497796,0.00179822645201,27.9120709882
CG7943,1.0271464639,8.9215049694,0.00179822645201,27.9120709882
Pdk,7.79040737276,0.0,0.001828432202,28.3809246395
pros,9.29150181121,10.5566210485,0.00213238245702,33.0988404978
CG43729,8.93369464556,10.5945180763,0.00213238245702,33.0988404978
CG32425,7.52784304691,1.13893195695,0.00216729483419,33.6407504163
ema,8.35697948437,0.0,0.00221073834775,34.3150806338
cbt,7.37741404103,0.0,0.00221073834775,34.3150806338
CG4278,0.0,2.25307989799,0.00239300692391,37.1442534729
CG7630,10.5141264675,9.90680630007,0.0025539527125,39.6424540034
KdelR,7.53148801423,0.0,0.0026641228572,41.3525149895
CG5021,0.0,7.63991406077,0.0026641228572,41.3525149895
RagC-D,0.0,8.4428895737,0.00285052336252,44.245823633
CG34353,5.96360759089,0.0,0.00286910496103,44.534247205
rgn,9.91925773974,8.07663689813,0.00304394018393,47.248039535
beat-Ic,3.53017328986,0.0,0.00307529397712,47.7347131128
FBXO11,0.0,3.35875392603,0.00309625179863,48.0600204183
mRpL35,7.64124254966,2.85377313834,0.0031244049632,48.4970138387
nAChRalpha1,5.77253061498,0.0,0.00348497681177,54.0938100723
CG4045,0.0,1.39401702924,0.00352705120034,54.7468887317
Tsr1,0.0,0.595527967415,0.00352705120034,54.7468887317
CG10384,1.21166205704,0.0,0.00352705120034,54.7468887317
TkR86C,1.39041056877,0.0,0.00352705120034,54.7468887317
CG32204,2.15774349488,0.0,0.00352705120034,54.7468887317
dpr15,1.99442958378,0.0,0.00352705120034,54.7468887317
CG33331,0.0,0.333784323857,0.00352705120034,54.7468887317
AlaRS,0.0,1.39161706694,0.00352705120034,54.7468887317
CG30089,0.0,3.17419795754,0.00352705120034,54.7468887317
CG31460,0.0,1.45979029423,0.00352705120034,54.7468887317
CG1537,2.42683560458,0.0,0.00352705120034,54.7468887317
CG32683,2.02696452224,0.0,0.00359044554028,55.7308956763
CG32700,9.30432735183,7.8834594037,0.00360467167913,55.9517138034
CG42239,5.7659449368,0.0,0.00364894251992,56.6388857942
sda,5.58438386596,0.950425452901,0.00372253114903,57.7811284952
kuk,0.0,8.34673599812,0.00373444360938,57.9660337047
CG3838,0.0,7.97454311793,0.00373444360938,57.9660337047
CG33543,9.30789719115,7.82737342236,0.00388846980714,60.3568283465
GLS,8.74906536676,6.44100777102,0.00405851819082,62.9963193579
mRpL28,8.53776062119,6.87395595202,0.00427891027272,66.4172452531
A2bp1,6.57024166641,7.85271861071,0.00430777905941,66.8653465602
CG11752,8.46568869642,7.60205086774,0.00430777905941,66.8653465602
Cct1,9.08158462771,10.3099816134,0.00430777905941,66.8653465602
Mmp2,5.97285395571,0.0,0.00437130777888,67.8514393438
CG9304,0.0,4.49294424342,0.00447257634231,69.4233299853
CG12541,0.0,5.68214778222,0.00450661135093,69.9516213891
CG45263,0.0,6.67895500444,0.00450661135093,69.9516213891
nAChRbeta2,6.84924286205,8.93551739702,0.00464668781242,72.1258882244
PRAS40,0.0,8.54741396604,0.00478027785591,74.1994728795
CG10527,7.02322786158,0.0,0.00478027785591,74.1994728795
oaf,0.0,5.61474102468,0.00478027785591,74.1994728795
Sec61gamma,3.42296695632,7.76007262534,0.00481299234794,74.7072672248
Ras85D,0.0,8.34921595148,0.00494472589418,76.7520353295
CG8974,6.86313415162,6.05463563551,0.00506374462822,78.5994441192
svr,8.97466641051,8.40013931737,0.00509655249555,79.108687836
ND-23,9.42626426529,8.97887740104,0.00509655249555,79.108687836
Eaat2,10.8244222273,10.1197855871,0.00509655249555,79.108687836
CG14186,9.46965231155,7.68463696796,0.00509655249555,79.108687836
AsnRS,0.0,8.33680046809,0.00522636036729,81.1235656211
dpr18,0.0,1.13060541175,0.00545841288083,84.7254847362
CG32392,0.0,2.06280881232,0.00545841288083,84.7254847362
CG7029,0.0,4.79773285473,0.00570910433234,88.6167174465
Prosalpha3,0.0,8.10114312997,0.00571579258186,88.7205324556
RpS11,6.38299520906,0.0,0.00571579258186,88.7205324556
dpr14,0.0,8.52972407235,0.00571579258186,88.7205324556
Chmp1,7.50710216212,4.44867172485,0.00582677971481,90.4432747333
CG5027,0.0,7.77301880751,0.00587556329273,91.2004934297
Non1,9.2536952547,6.63843034969,0.00591876009522,91.8709941979
mtd,6.39893621213,8.90447960238,0.00591876009522,91.8709941979
CG4577,10.1416383981,5.86276223903,0.00591876009522,91.8709941979
CG15537,11.3082902109,8.84923825903,0.00600211729593,93.1648646674
7B2,11.4938170306,11.2493494752,0.00601141270381,93.3091479885
Vha68-1,11.7343596504,11.1789602629,0.00601141270381,93.3091479885
CG9279,6.41557908302,3.22387280771,0.00617968770751,95.9211125959
ed,0.0,2.18828276009,0.00640153135102,99.3645696306
cN-IIIB,0.0,6.09868459188,0.00663282670479,102.954736112
CG18858,0.0,5.37626001518,0.00674805680549,104.743337735
apt,7.64659032097,0.0,0.00696973433282,108.184216314
Octbeta1R,0.0,6.20223692458,0.00700700427144,108.762720301
Moe,9.45288567614,5.91661374577,0.00702709940089,109.074636901
CG43222,7.07151691331,5.44838123821,0.00705850305669,109.562084446
ND-MLRQ,8.6333528096,7.8736156811,0.00706898472796,109.724780947
pAbp,10.0148511586,10.6560525237,0.00706898472796,109.724780947
CG2970,2.71222520466,8.21626237113,0.00763910951658,118.574257916
CG15765,6.76545252679,2.87357820913,0.00764579663351,118.678055345
gkt,0.0,4.54032510286,0.00770143730756,119.541709888
CG31345,7.10953889952,0.0,0.00781736611063,121.341156769
CG45002,3.83347025365,0.0,0.00781736611063,121.341156769
CG43759,0.0,0.942186774842,0.00802528727053,124.568509013
Sirt2,7.97088891742,5.5762776263,0.00805333439793,125.003856525
CG14562,0.0,0.0,0.00823657790279,127.848162207
twit,0.0,0.0,0.00823657790279,127.848162207
cav,0.0,0.0,0.00823657790279,127.848162207
beat-Vc,0.0,0.0,0.00823657790279,127.848162207
sr,0.0,0.0,0.00823657790279,127.848162207
CG4297,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
Tfb4,0.0,0.0,0.00823657790279,127.848162207
CG42747,0.0,0.0,0.00823657790279,127.848162207
Brms1,0.0,0.0,0.00823657790279,127.848162207
CG5110,0.0,0.0,0.00823657790279,127.848162207
CG31674,0.0,0.0,0.00823657790279,127.848162207
del,0.0,0.0,0.00823657790279,127.848162207
CG1218,0.0,0.0,0.00823657790279,127.848162207
CG17684,0.0,0.0,0.00823657790279,127.848162207
Vps25,0.0,0.0,0.00823657790279,127.848162207
Hrd3,0.0,0.0,0.00823657790279,127.848162207
l(2)gd1,0.0,0.0,0.00823657790279,127.848162207
M1BP,0.0,0.0,0.00823657790279,127.848162207
mub,8.89037908062,5.44841389475,0.00824041168623,127.907670194
Bacc,8.81728167304,9.61418577958,0.00828746337493,128.638006506
bonsai,5.8452236032,7.39389529767,0.0085313207872,132.423161259
l(2)SH0834,1.89159623454,6.80294834778,0.00860538725139,133.572820916
Octbeta3R,0.0,3.63479458415,0.00896604537191,139.170956263
vari,0.0,8.01381626394,0.00922543868928,143.197259335
mib2,6.68359113692,1.44319935016,0.00922986119094,143.265905406
Coprox,5.31658727715,0.0,0.00931456777471,144.580720999
dpr1,0.0,4.51319804228,0.00931456777471,144.580720999
CG4678,7.06144157515,8.80668253101,0.00942455500723,146.287942822
CG1358,9.44860014447,6.87852158924,0.00955525089186,148.316604343
PI31,7.604950838,0.83649634421,0.00957854978099,148.678249701
SNF4Agamma,0.0,1.48159901404,0.00966848626792,150.074243851
UQCR-11,8.99880456173,8.46694477019,0.0096866596658,150.356331332
CG9766,0.0,2.85475446832,0.00974606052132,151.278351412
exp,0.5227474513,0.0,0.00974606052132,151.278351412
DIP-theta,3.1476548111,0.0,0.00974606052132,151.278351412
CG13671,0.0,3.50739964908,0.00974606052132,151.278351412
msl-2,0.0,2.9258803688,0.00974606052132,151.278351412
NC2alpha,0.0,3.43444005385,0.00974606052132,151.278351412
lost,3.37394934098,8.07616207552,0.00997795713259,154.877850612
Reep1,5.33304767698,8.6801414707,0.00997795713259,154.877850612
