symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,9.42324349206,5.13445780758e-06,0.0796970540892
Scp2,9.28387081474,0.0,1.55845526505e-05,0.24190342624
hth,10.6718211584,1.98458251352,1.59244638206e-05,0.247179527424
Cbp53E,11.4290018758,8.34347191403,1.82210136462e-05,0.282826573817
igl,10.9425444942,11.7674541066,1.82922767695e-05,0.283932720016
GluClalpha,9.31749064114,7.16901937977,1.82922767695e-05,0.283932720016
IP3K2,9.72386412722,0.0,1.87923035691e-05,0.291694136
DIP-eta,5.65364376003,0.0,1.87923035691e-05,0.291694136
CG2082,5.85031496343,11.4908162045,3.56123299774e-05,0.552774585909
CG43729,8.36833423401,10.6051385814,3.82914473375e-05,0.594359845572
Parp,4.82316069088,0.0,4.50342179868e-05,0.699021131592
acj6,0.0,3.66612402046,6.2654363942e-05,0.972521037107
PVRAP,0.0,8.17997228533,6.2654363942e-05,0.972521037107
CG15765,7.20284534466,2.62612172144,0.000121576208476,1.88710590796
dpr6,0.0,7.29678270725,0.000191695863289,2.97550318997
CG9896,8.01959795176,0.0,0.000191695863289,2.97550318997
pros,9.21565618591,10.2973945513,0.000238840864478,3.70728789844
pyd,7.01959928273,1.66074703973,0.000346567437383,5.37941976306
nAChRalpha1,6.73325260213,0.573706846985,0.000388399919053,6.02874354353
rdgC,7.85963828049,0.0,0.000400152907868,6.21117343593
apt,8.10035212992,0.0,0.000476968848332,7.40351046381
CG5281,8.00081708986,0.0,0.0004986200163,7.73957989301
beat-Ib,6.87251006291,0.0,0.0004986200163,7.73957989301
caup,0.0,4.21044179872,0.000542166280837,8.41550501115
Tsp29Fb,0.0,7.73377157822,0.000542166280837,8.41550501115
CG1402,0.0,4.32138839552,0.000542166280837,8.41550501115
TrissinR,6.96087256964,0.0,0.000542166280837,8.41550501115
Pvr,0.0,3.72475413666,0.000542166280837,8.41550501115
twit,7.60986890772,0.0,0.000542166280837,8.41550501115
Cow,7.90651591934,0.0,0.000589256886706,9.14644539545
DIP-theta,6.88011936816,0.0,0.000741696486829,11.5126128686
beat-IV,7.57695276856,0.0,0.000746609897836,11.5888788342
CG6412,7.29140090174,8.32400401276,0.000824088988833,12.7915092847
CG33543,9.30789719115,0.0,0.000882615531441,13.699958279
CG7985,8.8542302074,0.0,0.000924738753125,14.353794926
CG42339,9.44157998619,0.0,0.00108495092142,16.8406082023
l(1)G0289,7.5344138847,0.0,0.00112871004054,17.5198372493
ST6Gal,10.2734767348,10.6481544197,0.00121836740449,18.9114988526
CG31676,9.20074797494,0.0,0.00125050505117,19.4103394042
fru,7.83021262328,2.76312847875,0.00136666167891,21.2133225801
CG32756,0.0,3.84278035783,0.00139888360254,21.7134712786
SH3PX1,2.7151439285,0.0,0.00142779274305,22.1621989576
klu,2.82122419295,0.0,0.00142779274305,22.1621989576
DIP-beta,0.0,1.48842001627,0.00142779274305,22.1621989576
CG32204,4.4712851688,0.0,0.00142779274305,22.1621989576
rdgA,3.78090842165,5.65628480415,0.00144200028716,22.3827284574
CG32392,0.0,6.69829623203,0.00156917424068,24.3567225639
CG34353,5.96360759089,0.0,0.00166511987523,25.8459907033
SmE,0.0,5.87435222114,0.00171566764987,26.6305932612
Eph,0.0,4.44290122983,0.00194175002269,30.1398438521
rad,0.0,5.6436524122,0.00196453706682,30.4935443511
nAChRalpha6,8.92573382138,7.25095854486,0.00213238245702,33.0988404978
Bacc,8.58141089626,9.46789854052,0.00213238245702,33.0988404978
Drep3,7.5152591649,8.95342001821,0.00218053624123,33.8462835364
Sema-2b,0.0,5.96515003444,0.00221073834775,34.3150806338
Octbeta3R,0.0,4.55389299236,0.00226897640886,35.2190518183
CG9467,0.0,7.91744583768,0.00239300692391,37.1442534729
CG31345,6.16164538795,0.0,0.00239300692391,37.1442534729
AIMP3,0.0,7.31975504655,0.00242461696602,37.6349045466
vib,7.77649093894,2.98116110819,0.00245863997421,38.1630096797
CG14806,7.68459311178,4.4190077806,0.00245863997421,38.1630096797
CG11752,8.27239968676,7.72329032667,0.0025539527125,39.6424540034
blw,13.5133170098,13.2383843421,0.0025539527125,39.6424540034
Ten-m,0.0,6.01424212858,0.00278672611851,43.2555628115
RpII18,6.62463336125,0.0,0.00285052336252,44.245823633
PRAS40,0.0,8.56074316474,0.00291155513335,45.1931587799
AstA-R1,1.70062124966,0.0,0.0029371589306,45.5905809207
CG1927,8.49732002694,6.59222543189,0.00299439011492,46.4789233637
CG9231,7.36691813557,5.77761688615,0.0030273744898,46.9909068306
CG32700,8.95069340686,7.31252999005,0.00304394018393,47.248039535
A2bp1,6.3131918131,7.91267077992,0.00304947296561,47.3339193722
CG10947,0.0,7.74361181042,0.00309625179863,48.0600204183
BuGZ,0.0,2.36949569325,0.00309625179863,48.0600204183
Nlg4,1.97777365996,0.0,0.00309625179863,48.0600204183
Sur-8,7.11013931332,0.59635059563,0.00341170718464,52.95651892
CG17746,0.0,3.60368801421,0.00352705120034,54.7468887317
tsh,0.60980797545,0.0,0.00352705120034,54.7468887317
hng3,0.0,2.2115851207,0.00352705120034,54.7468887317
CG7565,0.0,1.3024113013,0.00352705120034,54.7468887317
CaBP1,0.0,2.60357745523,0.00352705120034,54.7468887317
run,0.0,3.72718633523,0.00352705120034,54.7468887317
subdued,0.0,0.728862619605,0.00352705120034,54.7468887317
CG11134,2.93613892235,0.0,0.00352705120034,54.7468887317
l(2)35Be,1.79387937906,0.0,0.00352705120034,54.7468887317
CR32111,0.0,0.569791236775,0.00352705120034,54.7468887317
CG17684,0.0,0.889173382015,0.00352705120034,54.7468887317
CG30499,2.89422721393,0.0,0.00352705120034,54.7468887317
CG30089,0.0,2.37918275744,0.00352705120034,54.7468887317
ara,0.0,2.46995972738,0.00352705120034,54.7468887317
CG45050,8.40306001449,6.8212047896,0.0036299774941,56.3445106633
ND-B15,8.15994833584,7.34953681163,0.0036299774941,56.3445106633
Arl5,6.95700080018,0.0,0.00364894251992,56.6388857942
Swip-1,8.15726489999,2.8092206649,0.00405851819082,62.9963193579
BEAF-32,0.0,8.25175428418,0.0041336439511,64.162421409
oaf,0.0,5.49994745123,0.0041336439511,64.162421409
SPoCk,4.11492273842,0.0,0.00415787213509,64.5384912809
Ten-a,4.7184716324,6.50647862928,0.0042357913158,65.7479528038
GC1,6.95900300065,8.11672876833,0.00427891027272,66.4172452531
CG8216,8.54383800597,3.80174905232,0.00442139823196,68.6289433564
MsR1,1.62007885429,0.0,0.00447257634231,69.4233299853
Met,2.06260734317,0.0,0.00447257634231,69.4233299853
beat-Vc,0.0,7.10246792803,0.00447257634231,69.4233299853
dpr3,0.0,6.64310841943,0.00447257634231,69.4233299853
Tsp42Ee,8.45780605119,1.0713088464,0.00464668781242,72.1258882244
CG15537,11.5007243763,8.0710063494,0.00506374462822,78.5994441192
kek1,7.58299969815,5.61292475499,0.00508834087578,78.9812270738
CG11807,0.0,6.49407811042,0.00545841288083,84.7254847362
FKBP59,8.54315211653,0.0,0.00550127178673,85.3907406736
sds22,7.55679651497,0.0,0.00586160832233,90.9838843792
RpS5a,6.17482436335,8.11494124153,0.00600211729593,93.1648646674
QIL1,9.75331656878,8.36668277163,0.00601141270381,93.3091479885
EndoA,7.47274592621,5.71336400385,0.00601141270381,93.3091479885
CG15814,0.7934983399,7.95021068956,0.00649274409288,100.78037381
CG8507,6.67622879191,0.0,0.00663282670479,102.954736112
Grasp65,2.40730982316,0.0,0.0067947678321,105.46838629
CG9164,8.59030158058,0.0,0.00692625716683,107.509363743
IA-2,11.6106618544,10.747991673,0.00706898472796,109.724780947
CG6115,9.02599699409,9.41433148489,0.00706898472796,109.724780947
CG33170,5.75620315147,6.57074070479,0.00706898472796,109.724780947
Ktl,10.1266708863,9.16200638714,0.00706898472796,109.724780947
Eaat2,10.8244222273,9.89965354872,0.00706898472796,109.724780947
cac,7.15105282666,1.92046121723,0.00727208916095,112.877367956
CG6454,2.30069855623,7.44785275589,0.00763910951658,118.574257916
br,2.77452022553,7.2214730462,0.00763910951658,118.574257916
CG9279,5.74430315238,3.67056957987,0.00764579663351,118.678055345
CG11722,7.77713252245,6.73757088605,0.00764579663351,118.678055345
Fatp,0.0,8.03401929938,0.00770143730756,119.541709888
hyx,7.34197359947,0.0,0.00781736611063,121.341156769
Toll-6,0.0,3.66984435622,0.00794171135451,123.271243645
CG1537,5.4395211695,0.0,0.00802528727053,124.568509013
pigs,0.0,5.58940141542,0.00815814803603,126.630773815
mspo,8.24227218373,6.02693909701,0.0081700454027,126.815444741
CG11000,5.02932413919,6.85929807242,0.0081700454027,126.815444741
CG34371,0.0,0.0,0.00823657790279,127.848162207
Dlip2,0.0,0.0,0.00823657790279,127.848162207
ssh,0.0,0.0,0.00823657790279,127.848162207
Abi,0.0,0.0,0.00823657790279,127.848162207
Sin3A,0.0,0.0,0.00823657790279,127.848162207
alpha-Man-IIa,0.0,0.0,0.00823657790279,127.848162207
CG4497,0.0,0.0,0.00823657790279,127.848162207
btsz,0.0,0.0,0.00823657790279,127.848162207
nkd,0.0,0.0,0.00823657790279,127.848162207
CR45018,0.0,0.0,0.00823657790279,127.848162207
Trim9,0.0,0.0,0.00823657790279,127.848162207
dpr13,0.0,0.0,0.00823657790279,127.848162207
CG31191,0.0,0.0,0.00823657790279,127.848162207
or,0.0,0.0,0.00823657790279,127.848162207
CG42747,0.0,0.0,0.00823657790279,127.848162207
CG10132,6.33473872748,4.30708105098,0.00824041168623,127.907670194
