symbol,medianA,medianB,pvalue,pvalue_adj
rdgC,7.6683976922,0.0,5.13445780758e-06,0.0796970540892
DIP-eta,4.50162417224,0.0,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.9236737748,1.11685890367e-05,0.173358839028
CG42339,10.0863358605,0.0,1.22446437935e-05,0.190061360963
hth,10.6703705022,0.408912644882,1.59244638206e-05,0.247179527424
Cbp53E,11.3736085741,7.51952263323,1.82210136462e-05,0.282826573817
acj6,0.0,3.37143085703,1.87923035691e-05,0.291694136
CG15765,7.28137738886,2.24684778612,2.2595776672e-05,0.350731645504
C15,0.0,9.40461227359,6.2654363942e-05,0.972521037107
ara,0.0,5.35392811391,6.2654363942e-05,0.972521037107
mtd,6.39893621213,8.64989549427,0.000122720086651,1.904861185
Raf,0.0,8.85014673744,0.00016663424449,2.58649674297
IP3K2,8.12381770527,0.0,0.000191695863289,2.97550318997
CG31676,9.86800634126,0.0,0.000245190061008,3.80584012697
CG43729,8.82158633338,10.7373716846,0.000296021072947,4.59483909429
EndoB,9.7371364171,8.40792625244,0.000361849544811,5.61662863455
Scp2,9.87932061996,0.0,0.000431569263818,6.69881811299
CG32225,11.0444252261,9.81646368585,0.00045046779818,6.99216116335
Drep3,0.0,9.12074755158,0.0004986200163,7.73957989301
CG1537,5.5402557117,0.0,0.000542166280837,8.41550501115
caup,0.0,2.28835360089,0.000542166280837,8.41550501115
CG9896,7.06511407527,0.0,0.000542166280837,8.41550501115
CG1718,3.13327829966,0.0,0.000542166280837,8.41550501115
CG31221,9.49171368765,10.658184128,0.00055308909204,8.58504888665
tup,6.20532689866,0.0,0.00058095302954,9.01755292451
apt,8.317634895,0.0,0.000595886334442,9.24934768321
dpr3,0.0,7.48480330022,0.000634034528259,9.84148394764
CG2091,7.85140061655,0.0,0.000986770339198,15.316649205
Sod,11.4338747631,10.7470451673,0.00100475242783,15.5957671848
RpS30,8.93862820732,7.8362525334,0.00100475242783,15.5957671848
nAChRalpha6,8.9524129875,7.49669205093,0.00100475242783,15.5957671848
CG1648,8.76870265005,7.51828022794,0.00121836740449,18.9114988526
CG30089,0.0,5.80863353848,0.00126291265293,19.6029301988
PVRAP,0.0,7.76534338023,0.00126291265293,19.6029301988
oaf,0.0,5.56052746721,0.00126291265293,19.6029301988
sda,4.23572836435,0.0,0.00135089837356,20.9686445544
CG34353,6.2695322777,0.0,0.00137316776791,21.3143100934
mRpL34,4.42708686363,0.0,0.00137316776791,21.3143100934
twit,7.60986890772,0.0,0.00142779274305,22.1621989576
Trim9,0.0,4.57756470709,0.00142779274305,22.1621989576
CG10947,0.0,1.38081286898,0.00142779274305,22.1621989576
klg,7.78252431313,5.95407368851,0.00146972308396,22.8130417092
kek1,7.77788863125,5.45024451207,0.00146972308396,22.8130417092
CG43778,0.0,7.51306371598,0.00156917424068,24.3567225639
Toll-6,0.0,7.54467305894,0.00166511987523,25.8459907033
CG42342,9.47654566329,8.34507795304,0.00176053230348,27.3269824146
CG6983,8.37888029883,4.76025936346,0.00176053230348,27.3269824146
CG10082,1.78832831086,7.66619617694,0.00190593953565,29.5839934724
Fife,6.29187502664,0.0,0.00196453706682,30.4935443511
CG15537,11.417056714,9.53932326272,0.00204982228844,31.8173415611
veli,7.1244422244,8.62686172461,0.00213238245702,33.0988404978
CG1927,8.36623945655,0.595527967415,0.0022921955282,35.5794589887
heph,0.0,4.2421974176,0.00239300692391,37.1442534729
CG11753,0.0,6.42153459604,0.00239300692391,37.1442534729
DCTN1-p150,3.44706476503,0.0,0.00249812865642,38.7759530049
igl,10.7531125801,11.7847830393,0.0025539527125,39.6424540034
dpr21,7.43167637646,5.22684966336,0.00274041277185,42.5366870446
Rab21,6.19925192595,0.0,0.0027480089233,42.6545945074
CG9132,2.83987204086,0.0,0.0027480089233,42.6545945074
pnut,7.76456944857,9.44379658575,0.0030273744898,46.9909068306
Gycbeta100B,7.39846292304,3.04531168669,0.00304394018393,47.248039535
alpha-Man-Ib,8.12114596805,9.45752895126,0.00304394018393,47.248039535
sesB,12.683746992,12.1464356252,0.00304947296561,47.3339193722
CR44266,1.90841073152,0.0,0.00352705120034,54.7468887317
CG32204,2.15774349488,0.0,0.00352705120034,54.7468887317
Tsp29Fb,0.0,0.595527967415,0.00352705120034,54.7468887317
tamo,0.748851020675,0.0,0.00352705120034,54.7468887317
CG32856,0.0,1.59190506352,0.00352705120034,54.7468887317
CG10512,0.0,2.70443103794,0.00352705120034,54.7468887317
