symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.21770207963,0.0,5.13445780758e-06,0.0796970540892
hth,10.7119133491,7.61919647322,1.69078033979e-05,0.262442924342
C15,0.0,9.31112335555,1.87923035691e-05,0.291694136
CG2082,0.0,11.4361895899,2.79943635337e-05,0.434528510771
acj6,0.0,4.36271237901,6.2654363942e-05,0.972521037107
CG30089,0.0,6.72914328254,6.2654363942e-05,0.972521037107
CG42339,8.86569310416,0.0,6.53070589699e-05,1.01369616933
oaf,0.0,5.27721821991,7.39782380629e-05,1.14829021121
GluClalpha,9.60847048965,7.09772432127,7.78979465439e-05,1.20913192626
Cbp53E,11.3821902799,7.50780370976,9.68279741405e-05,1.50296381461
CG7985,9.10349214922,0.0,0.000128393684088,1.99292676441
fru,8.45747113481,0.0,0.000129502823541,2.01014282701
CG12541,0.0,3.42046172468,0.000191695863289,2.97550318997
Scp2,8.71992757434,0.0,0.000191695863289,2.97550318997
IP3K2,8.13458856711,0.0,0.000191695863289,2.97550318997
IA-2,11.7366868252,10.4861537597,0.000238840864478,3.70728789844
Fife,5.69688795546,0.0,0.000275036562097,4.26911751687
rdgC,7.23479164829,0.0,0.000301562738535,4.68085682754
heph,0.0,5.89644682991,0.000401100451324,6.22588120545
sda,2.83842577355,0.0,0.000468514203725,7.27227747022
PVRAP,0.0,7.70576167773,0.000505276606553,7.84290348691
beat-VI,0.0,7.32213910291,0.000542166280837,8.41550501115
Parp,3.43130481638,0.0,0.000542166280837,8.41550501115
CG10947,0.0,8.32775003757,0.000595886334442,9.24934768321
CG31676,9.08836979619,0.0,0.000634034528259,9.84148394764
mub,8.76661513137,4.33039853974,0.000824088988833,12.7915092847
Past1,0.0,8.87183259606,0.000827498854029,12.8444372122
ctp,9.98958963526,8.73703454588,0.00100475242783,15.5957671848
Tsp42Ej,10.4991150935,10.9981636745,0.00100475242783,15.5957671848
Moe,9.6740221802,2.08269556825,0.00107504485903,16.6868463018
igl,10.5709062953,11.9200886451,0.00121836740449,18.9114988526
CG4557,0.0,7.7293863363,0.00126291265293,19.6029301988
Tusp,0.0,8.65209977359,0.00137316776791,21.3143100934
Hip14,0.0,3.73455223604,0.00138410255674,21.4840398857
Atg14,2.00927488231,0.0,0.00142779274305,22.1621989576
dpr6,0.0,5.99830994228,0.00142779274305,22.1621989576
sn,0.0,2.82549687683,0.00142779274305,22.1621989576
twit,6.88242563163,0.0,0.00142779274305,22.1621989576
CG1637,5.11316861782,9.15612054628,0.00144200028716,22.3827284574
Gycbeta100B,6.60350783053,4.99176899679,0.00147282307527,22.8611597743
porin,12.0668492077,11.5114177154,0.00147282307527,22.8611597743
CG42240,7.36751542366,0.0,0.00169115023202,26.2500339014
rb,0.0,1.99591106208,0.00171566764987,26.6305932612
COQ7,0.0,7.26685526003,0.00171566764987,26.6305932612
mCD8-GFP,12.4664642811,11.7098429827,0.00177491931746,27.5502976456
BEAF-32,0.0,7.92888144652,0.001828432202,28.3809246395
CG11000,0.0,6.58663664691,0.00190593953565,29.5839934724
dpr3,0.0,5.20456974357,0.00194175002269,30.1398438521
mspo,8.79233390832,3.12652633286,0.00204982228844,31.8173415611
CG44242,8.83218388792,7.86369518223,0.00213238245702,33.0988404978
Tcp-1eta,0.0,7.11705940565,0.00228171554653,35.4167887132
bru-3,0.0,6.40991543222,0.00242461696602,37.6349045466
Ddc,10.3365829493,9.40051586037,0.0025539527125,39.6424540034
CG8485,3.55115001891,8.1054696173,0.00260376866526,40.4156972221
Drep3,0.0,8.44092248309,0.00291155513335,45.1931587799
Fas2,8.43222474675,1.60657558622,0.00293985221537,45.632386087
CG32700,9.0567282178,7.94018647371,0.0030273744898,46.9909068306
CG32225,10.9568530349,10.0666635946,0.00304947296561,47.3339193722
lola,7.72157552653,8.77425908966,0.00304947296561,47.3339193722
AsnRS,0.0,8.29436514516,0.00309625179863,48.0600204183
Ca-alpha1T,2.68094155345,7.3891899568,0.00350437791695,54.3949540269
CG30424,1.91073034419,0.0,0.00352705120034,54.7468887317
CG9467,0.0,1.44722653146,0.00352705120034,54.7468887317
CG4565,1.71503643484,0.0,0.00352705120034,54.7468887317
SPR,0.0,0.80253921165,0.00352705120034,54.7468887317
pho,0.0,3.14480143568,0.00352705120034,54.7468887317
caup,0.0,0.841292159635,0.00352705120034,54.7468887317
Trim9,0.0,0.73107043891,0.00352705120034,54.7468887317
pros,8.9902317161,10.4268304417,0.0036299774941,56.3445106633
Atg8a,10.2447402007,10.7325945297,0.0036299774941,56.3445106633
ST6Gal,9.24900283624,10.6523553214,0.0036299774941,56.3445106633
CG17233,7.22742959319,0.0,0.00364894251992,56.6388857942
Sema-2b,0.0,5.39913292807,0.00373444360938,57.9660337047
CG32069,3.20417162293,0.0,0.00373444360938,57.9660337047
CG1402,0.0,3.9117268681,0.00373444360938,57.9660337047
CG31997,8.36584341858,2.97531131127,0.00405851819082,62.9963193579
Con,7.43410939757,3.35813525705,0.0042357913158,65.7479528038
kek1,7.24724485491,5.92383888794,0.00430055266134,66.7531784093
CG43729,8.26164548924,10.5965409353,0.00430777905941,66.8653465602
dpr15,5.22676228734,0.0,0.00437130777888,67.8514393438
CG11247,6.03008915333,0.0,0.00447257634231,69.4233299853
CG7637,3.32848236732,0.0,0.00450661135093,69.9516213891
CLS,0.0,7.34372700863,0.00478027785591,74.1994728795
RpS11,6.4794255566,0.0,0.00482617982151,74.9119631895
CG33543,9.18777225802,3.10342790601,0.00493354571083,76.5784965235
Pka-C1,8.20654217757,7.20451605313,0.00501472614484,77.8385792202
CG15765,8.08303352415,2.37769128374,0.00506374462822,78.5994441192
nAChRalpha6,8.90656170421,7.14959732243,0.00508834087578,78.9812270738
UQCR-Q,10.7021189345,10.1953940068,0.00509655249555,79.108687836
nrv2,8.45664404807,0.0,0.00543592854447,84.3764828673
CG9669,4.26291414711,0.0,0.00544425276621,84.5056914371
CG42342,9.40740589775,7.9121330962,0.00545010546949,84.5965370974
CG32104,0.0,3.61260448554,0.00545841288083,84.7254847362
CG32138,0.0,3.2682514356,0.00545841288083,84.7254847362
CG13204,0.0,3.64896451142,0.00545841288083,84.7254847362
CG42673,0.0,7.52593308567,0.00587556329273,91.2004934297
rgn,9.65378052457,5.50428226838,0.00597427122471,92.7326379499
CG10426,2.21801633593,8.44753073747,0.00621296200904,96.4375963044
CG5021,0.0,7.70741805163,0.0064436900087,100.018956315
CG14818,2.30069855623,7.16094415216,0.00649274409288,100.78037381
mRpL49,7.61864771684,1.20467440284,0.00692625716683,107.509363743
Mtch,9.07816999208,7.80471976613,0.0069644785992,108.102636817
CG14314,8.60686047287,0.0,0.00696973433282,108.184216314
Dph5,0.0,6.7915350705,0.00696973433282,108.184216314
RpL37a,8.40382366684,6.24159204136,0.00702709940089,109.074636901
mtd,7.10996817193,8.40022070292,0.00706898472796,109.724780947
CG5641,6.94116793248,8.60533736254,0.00727208916095,112.877367956
Plip,1.3005023163,0.0,0.00770023265441,119.523011262
gammaTub23C,0.0,7.84345972842,0.00770143730756,119.541709888
CG4678,0.0,8.13700250038,0.00794171135451,123.271243645
CG5412,0.0,4.08952798255,0.00802528727053,124.568509013
CG32052,1.94995089935,0.0,0.00802528727053,124.568509013
CG11807,0.0,4.2532706199,0.00802528727053,124.568509013
CG32473,0.0,3.81161583372,0.00802528727053,124.568509013
shakB,5.30807704526,6.9917357783,0.0081700454027,126.815444741
Dop2R,0.0,0.0,0.00823657790279,127.848162207
SNF4Agamma,0.0,0.0,0.00823657790279,127.848162207
Ent2,0.0,0.0,0.00823657790279,127.848162207
CG6597,0.0,0.0,0.00823657790279,127.848162207
SAK,0.0,0.0,0.00823657790279,127.848162207
CG6401,0.0,0.0,0.00823657790279,127.848162207
CG5151,0.0,0.0,0.00823657790279,127.848162207
Sry-delta,0.0,0.0,0.00823657790279,127.848162207
CR45018,0.0,0.0,0.00823657790279,127.848162207
CR45597,0.0,0.0,0.00823657790279,127.848162207
klu,0.0,0.0,0.00823657790279,127.848162207
sca,0.0,0.0,0.00823657790279,127.848162207
CG31674,0.0,0.0,0.00823657790279,127.848162207
Nup98-96,0.0,0.0,0.00823657790279,127.848162207
DAAM,0.0,0.0,0.00823657790279,127.848162207
Pask,0.0,0.0,0.00823657790279,127.848162207
DIP-theta,0.0,0.0,0.00823657790279,127.848162207
CG33695,0.0,0.0,0.00823657790279,127.848162207
CG9896,0.0,0.0,0.00823657790279,127.848162207
CG12950,0.0,0.0,0.00823657790279,127.848162207
Sin3A,0.0,0.0,0.00823657790279,127.848162207
Obp69a,0.0,0.0,0.00823657790279,127.848162207
Nprl3,0.0,0.0,0.00823657790279,127.848162207
CG4497,0.0,0.0,0.00823657790279,127.848162207
mt:CoI,13.0511169234,12.7219482749,0.00828746337493,128.638006506
CG13868,1.81270300588,8.01314766466,0.0085313207872,132.423161259
Jafrac1,4.5354741824,8.44477280082,0.0089600468541,139.077847269
CG10527,7.33392486282,4.52266555549,0.0089600468541,139.077847269
nmd,0.0,7.44289124373,0.00896604537191,139.170956263
Mfe2,0.0,4.5346802264,0.00922543868928,143.197259335
CG8617,0.0,7.37392819751,0.00952535138118,147.852504139
Teh1,4.28695317724,0.0,0.00957854978099,148.678249701
ClC-c,0.0,0.972927214131,0.00966848626792,150.074243851
mRpS18A,7.82944519981,7.04485161653,0.00967348688211,150.151863384
CG9034,7.38128306629,6.57337979792,0.0096866596658,150.356331332
RpL22,7.64656175479,8.46417683605,0.0096866596658,150.356331332
CG31098,0.0,3.76487556886,0.00974606052132,151.278351412
CR45926,0.0,0.60430772512,0.00974606052132,151.278351412
Dd,0.0,5.54092201904,0.010812027636,167.824292966
cac,7.52684576528,2.8882661791,0.010995767115,170.676297159
CR43481,0.0,2.52029675681,0.011008781754,170.878310386
CG7718,7.41647027095,0.0,0.0110568859277,171.62498337
CG14207,8.25597448981,0.0,0.0112105614883,174.010335422
Tomosyn,8.80459487657,6.72468235137,0.0112293518472,174.301999373
Sherpa,6.809286896,8.07068393493,0.0112733508526,174.984951934
elav,0.0,7.99585195784,0.0113892126512,176.783358771
Nf1,4.90510230768,0.0,0.0114025301101,176.990072369
CG8216,8.47758180467,0.0,0.0114025301101,176.990072369
CG17765,0.0,7.47023838411,0.0114025301101,176.990072369
CG11444,3.64405555775,0.0,0.0115984223418,180.030711589
