symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.13879923011,0.0,5.13445780758e-06,0.0796970540892
hth,10.4825653765,1.59305528044,1.59244638206e-05,0.247179527424
GluClalpha,9.60153987943,7.02192611641,1.82922767695e-05,0.283932720016
acj6,0.0,5.70108408352,1.87923035691e-05,0.291694136
C15,0.0,10.0193233976,1.87923035691e-05,0.291694136
CG2082,0.0,11.4917331546,4.01279246574e-05,0.622865646532
kek1,7.70972142514,5.80245412663,6.14635008328e-05,0.954036459927
CG9766,0.0,5.76754169343,6.2654363942e-05,0.972521037107
CG30089,0.0,6.02460317456,6.2654363942e-05,0.972521037107
Dph5,0.0,8.00347962282,6.53070589699e-05,1.01369616933
Cbp53E,11.6697487641,9.00411383598,7.78979465439e-05,1.20913192626
IA-2,11.5670072836,10.7717459303,7.78979465439e-05,1.20913192626
CG7985,9.15071664016,0.0,7.99259080905e-05,1.24060994538
CG42339,8.36740793882,0.0,0.000106995032231,1.66077689029
CG31676,8.25248910544,0.0,0.00011600356004,1.80060725894
heph,0.0,6.38289687373,0.000148206009967,2.30045368671
rdgC,7.08617147052,0.0,0.000151723321511,2.3550493965
apt,7.32321110836,0.0,0.000191695863289,2.97550318997
CG32052,8.298554555,0.0,0.000191695863289,2.97550318997
Scp2,8.8230846451,0.0,0.000191695863289,2.97550318997
PVRAP,0.0,8.08756509741,0.000191695863289,2.97550318997
dpr15,4.60398658894,0.0,0.000191695863289,2.97550318997
trio,0.0,7.04089542942,0.000208948864483,3.24330427451
slmo,1.93019273542,5.04838798151,0.000215892781976,3.35108776183
Drep3,0.0,8.77630393192,0.000254836523736,3.95557252143
CG15537,11.3612720855,8.1893215915,0.000356065705973,5.52685188811
vvl,4.2331917606,0.0,0.000542166280837,8.41550501115
CG9896,7.16164216421,0.0,0.000542166280837,8.41550501115
Myo81F,0.0,4.32168671326,0.000542166280837,8.41550501115
CG31674,6.42491765441,0.0,0.000542166280837,8.41550501115
COX7A,10.8268522176,10.3177194152,0.00055308909204,8.58504888665
CG32772,0.0,4.77196563359,0.000634034528259,9.84148394764
CG5021,0.0,7.42608392536,0.000673809488881,10.4588708864
dpr3,0.0,6.69075005718,0.000792514928053,12.3014167132
Mdh1,8.79977062589,5.63537925015,0.000959980575337,14.9008184904
nAChRalpha6,8.98683736609,6.9133638135,0.00100248323755,15.5605448133
CR45007,0.380138032433,4.40761724826,0.00107504485903,16.6868463018
pyd,5.81761444153,0.0,0.00108495092142,16.8406082023
CG12541,0.0,5.51296399897,0.00108495092142,16.8406082023
dpr18,0.0,7.57689341191,0.00113640233548,17.6392370513
Vha36-1,10.5709194784,9.5863067668,0.00121836740449,18.9114988526
Gdh,10.9938383622,11.4521478509,0.00121836740449,18.9114988526
mt:CoI,13.0793292222,12.4407771472,0.00121836740449,18.9114988526
Dscam3,0.0,3.84852671926,0.00122388950565,18.9972129066
EndoGI,7.03604683265,0.0,0.00126291265293,19.6029301988
CG10947,0.0,7.8156770644,0.00126291265293,19.6029301988
akirin,0.0,7.66649305663,0.00135089837356,20.9686445544
CG10809,0.0,4.84725586609,0.00142779274305,22.1621989576
Fak,1.58523275562,0.0,0.00142779274305,22.1621989576
CG9413,1.56591704348,0.0,0.00142779274305,22.1621989576
CHES-1-like,0.0,2.0732734227,0.00142779274305,22.1621989576
Tsp29Fb,0.0,2.8863842344,0.00142779274305,22.1621989576
PH4alphaEFB,0.0,6.16500443275,0.00142779274305,22.1621989576
CG44098,0.0,0.862845337574,0.00142779274305,22.1621989576
Con,8.48433549762,3.63982454674,0.00146044673523,22.6690542243
RpL32,7.65701446282,3.92007962431,0.0015028760232,23.3276416321
CG5339,0.0,7.68432159133,0.00156917424068,24.3567225639
Fife,5.69688795546,0.0,0.00169115023202,26.2500339014
ssx,3.10488580333,7.30507503375,0.00170367355559,26.4444209299
AstA-R1,3.43076287332,0.0,0.00194175002269,30.1398438521
Sgt1,0.0,7.2803230683,0.00196453706682,30.4935443511
