symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,4.86531593169,0.0,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.4478578512,1.11685890367e-05,0.173358839028
Cbp53E,11.7413366879,8.2723431688,1.82210136462e-05,0.282826573817
C15,0.0,9.27587960009,1.87923035691e-05,0.291694136
hth,10.6466439327,4.64149344981,2.89345043e-05,0.449121375744
acj6,0.0,6.50216702617,3.03089062316e-05,0.470454842527
CG7985,9.39883683402,0.0,5.1305805304e-05,0.796368709929
CG31676,9.08836979619,0.0,5.78208106649e-05,0.897494623141
mCD8-GFP,12.629380386,11.2846252083,6.1672877202e-05,0.957286399929
CG15765,6.58152008134,2.48251355558,6.1672877202e-05,0.957286399929
dpr3,0.0,7.39756549098,6.2654363942e-05,0.972521037107
pros,9.18793444739,10.0375034351,0.000123103116411,1.91080657294
beat-Vc,0.0,7.42090938227,0.000191695863289,2.97550318997
CG30089,0.0,5.90864994635,0.000191695863289,2.97550318997
CG7433,11.7107010173,10.6495699609,0.000192101013517,2.98179193182
Moe,10.0206377171,7.60386977595,0.000232116999732,3.60292006985
igl,10.8228663673,12.0982007613,0.000238840864478,3.70728789844
Drep3,0.0,9.25740456224,0.000252741572561,3.92305468928
CG42339,8.46955950751,0.0,0.000301562738535,4.68085682754
AnxB10,9.78827155218,8.71690374844,0.000365740995907,5.67703173847
heph,0.0,6.33229691782,0.000401100451324,6.22588120545
GluClalpha,9.70514862545,7.81097227916,0.00045046779818,6.99216116335
PVRAP,0.0,7.95908473642,0.000505276606553,7.84290348691
CG6412,5.4521535977,8.90896749726,0.000525874701383,8.16262711487
I-2,9.05127702862,3.9078679153,0.000525874701383,8.16262711487
caup,0.0,4.34875229215,0.000542166280837,8.41550501115
dpr15,5.55075232636,0.0,0.000542166280837,8.41550501115
TkR86C,3.39603991383,0.0,0.000542166280837,8.41550501115
apt,7.88786455164,0.0,0.000542166280837,8.41550501115
sda,3.87589322503,0.0,0.000606251512059,9.41023597018
porin,12.0668752591,11.5968597758,0.000676970721546,10.5079395398
IA-2,11.6505086699,10.7164846793,0.000676970721546,10.5079395398
CG10947,0.0,8.13484185539,0.000792514928053,12.3014167132
fru,8.38748843431,5.3491091497,0.000806842561265,12.523810236
Rpn3,0.0,7.78631087899,0.000919774599492,14.2767413333
CG15537,11.515550494,7.95266331372,0.000982205636211,15.2457958853
CG44247,9.60158378441,7.86817584734,0.00100475242783,15.5957671848
Hsp70Bb,6.20527021892,5.12698352969,0.00100475242783,15.5957671848
CG12746,0.0,7.56727243535,0.00113640233548,17.6392370513
CG1637,7.48442122011,9.16346811903,0.00119195654579,18.5015495037
jdp,0.0,8.71243956296,0.00122607677974,19.0311637751
Uvrag,0.0,6.74868880169,0.00126291265293,19.6029301988
beat-Ic,3.29055428158,0.0,0.00142779274305,22.1621989576
CG13375,0.0,4.23211189154,0.00142779274305,22.1621989576
Mulk,6.08112389326,0.0,0.00142779274305,22.1621989576
run,0.0,2.40187549659,0.00142779274305,22.1621989576
CG13921,9.27302285922,7.70895641197,0.00146044673523,22.6690542243
CG9328,10.7850207989,9.48997862266,0.00147282307527,22.8611597743
ST6Gal,9.1570674,10.5654256688,0.00147282307527,22.8611597743
CG43729,8.93369464556,10.4064445083,0.00147282307527,22.8611597743
Eaat2,11.0208767762,9.98427956811,0.00177491931746,27.5502976456
cdc14,0.0,4.20956519935,0.0018668701386,28.9775582913
bru-3,0.0,5.65770680964,0.00201257007866,31.239112761
rgn,9.76910420918,7.88388721953,0.00211572035207,32.8402113049
UQCR-C1,12.2825098517,11.7556848072,0.00213238245702,33.0988404978
eIF-1A,8.03608870205,6.87003352921,0.00253472786605,39.3440459369
svr,9.5555576579,8.54487495053,0.00253472786605,39.3440459369
Atg12,0.0,4.41977402067,0.00255244743278,39.6190890516
rdgC,6.22552736863,0.0,0.00302023299658,46.8800565729
CG31345,7.10953889952,0.0,0.00309625179863,48.0600204183
CG9281,8.25506344969,6.53825498648,0.00341170718464,52.95651892
CG14995,0.0,0.8873820627,0.00352705120034,54.7468887317
Trim9,0.0,0.87851654006,0.00352705120034,54.7468887317
ara,0.0,2.74570772283,0.00352705120034,54.7468887317
miple2,0.0,1.1730168809,0.00352705120034,54.7468887317
CR43431,2.99102401445,0.0,0.00352705120034,54.7468887317
Pvr,0.0,1.66100893757,0.00352705120034,54.7468887317
dpr10,0.368195064875,0.0,0.00352705120034,54.7468887317
IP3K2,2.05975274642,0.0,0.00352705120034,54.7468887317
nct,0.0,3.64212370922,0.00352705120034,54.7468887317
CG31814,0.0,1.30503194105,0.00352705120034,54.7468887317
ND-23,9.73272956259,8.73031440402,0.0036299774941,56.3445106633
Dop2R,4.39568321753,0.0,0.00364894251992,56.6388857942
tnc,0.0,6.09045975684,0.00373444360938,57.9660337047
Octbeta1R,0.0,8.19470053674,0.0041336439511,64.162421409
mtd,6.46808658434,8.57186918716,0.00430055266134,66.7531784093
Rtnl1,8.56448498935,9.34104017658,0.00430777905941,66.8653465602
Fife,6.20952444998,0.0,0.00436846465125,67.8073083167
Mfe2,0.0,4.8986116282,0.00447257634231,69.4233299853
mlt,8.81351466334,0.0,0.00450661135093,69.9516213891
beat-IV,7.4648987576,0.0,0.00451760512169,70.1222666989
CG8321,0.0,6.97781000434,0.00478027785591,74.1994728795
CG10576,7.59840936944,0.0,0.00493654540271,76.6250577408
CG7990,7.10074066725,0.0,0.00493654540271,76.6250577408
Syn,4.48573993445,0.0,0.00494472589418,76.7520353295
CG32700,8.75093870867,6.35923178472,0.00506374462822,78.5994441192
CG31221,9.70231235943,10.5831837612,0.00509655249555,79.108687836
Cam,9.83872061885,10.6095111013,0.00509655249555,79.108687836
Got2,4.57028730049,9.45384060559,0.00523521521884,81.2610106268
Hsp70Bc,1.66090203185,0.0,0.0053005570512,82.2752465487
Invadolysin,6.37413414443,0.0,0.00540745351568,83.9344934703
Ras85D,0.0,8.29300409995,0.00570910433234,88.6167174465
Octbeta3R,0.0,4.0474235459,0.00570910433234,88.6167174465
p24-1,0.0,7.35060902541,0.00571579258186,88.7205324556
pnut,7.93895860752,9.5166313751,0.00591876009522,91.8709941979
CG4577,10.3394983849,8.94142335139,0.00597427122471,92.7326379499
kek1,7.52753109347,5.68527799593,0.00600211729593,93.1648646674
Scp2,8.64657495992,0.0,0.00640153135102,99.3645696306
CadN,0.0,7.14793592809,0.0064436900087,100.018956315
Max,0.0,6.83965343246,0.0064649498014,100.348950817
CG34191,5.37981876196,0.0,0.0064649498014,100.348950817
CG8475,4.61337212454,0.0,0.00653613018271,101.453812696
Usf,0.0,7.60422372607,0.00692625716683,107.509363743
CG1902,9.65706331513,8.5990944057,0.00702709940089,109.074636901
miple1,10.8703091969,11.2635908717,0.00706898472796,109.724780947
CG11752,8.54018262056,7.74388661906,0.00706898472796,109.724780947
NP15.6,9.13469206918,8.82168054701,0.00706898472796,109.724780947
COX5A,11.8729902783,11.2931130517,0.00706898472796,109.724780947
CG42613,1.46867407635,4.15937533817,0.00763910951658,118.574257916
CG9253,0.0,5.02973321527,0.00770023265441,119.523011262
CG2224,0.0,8.03807548469,0.00770143730756,119.541709888
or,0.0,3.90744418309,0.00781736611063,121.341156769
NAA20,0.0,6.88880619291,0.00802528727053,124.568509013
CG10384,2.13628888651,0.0,0.00802528727053,124.568509013
retm,0.0,7.41432446611,0.00805893116142,125.090729488
cac,7.28642725242,3.68910374194,0.0081700454027,126.815444741
Dnz1,0.0,0.0,0.00823657790279,127.848162207
ver,0.0,0.0,0.00823657790279,127.848162207
vvl,0.0,0.0,0.00823657790279,127.848162207
CG31674,0.0,0.0,0.00823657790279,127.848162207
