symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,4.92593166277,0.0,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.7767541227,1.46238770616e-05,0.22699181975
hth,10.2886723954,2.81746829991,1.69078033979e-05,0.262442924342
Cbp53E,11.6034304226,8.15073471328,1.82210136462e-05,0.282826573817
C15,0.0,9.46194354824,1.87923035691e-05,0.291694136
CG7985,9.23969509653,0.0,2.61723833413e-05,0.406247734223
CG42339,9.29349243314,0.0,3.03089062316e-05,0.470454842527
IP3K2,8.61787030352,0.0,6.2654363942e-05,0.972521037107
dpr3,0.0,8.18630558959,6.2654363942e-05,0.972521037107
acj6,0.0,3.90216203534,6.2654363942e-05,0.972521037107
beat-Vc,0.0,7.71076330382,6.2654363942e-05,0.972521037107
CG31676,9.21479851299,0.0,7.39782380629e-05,1.14829021121
CG1637,0.0,8.93214976754,8.15947380484e-05,1.26651352399
Drep3,0.0,9.29935397611,0.000166728382707,2.58795795638
Scp2,9.89622985928,0.0,0.000181576601823,2.8184320135
PVRAP,0.0,8.29853670951,0.000188639994557,2.92806999551
rdgC,7.3240491005,0.0,0.000191427754366,2.97134160328
CG30089,0.0,3.22559243707,0.000191695863289,2.97550318997
CG10947,0.0,7.94092278226,0.000191695863289,2.97550318997
run,0.0,7.45968436298,0.000191695863289,2.97550318997
igl,10.6686987341,12.0551288376,0.000296021072947,4.59483909429
heph,0.0,6.48603917409,0.000308239766457,4.78449765495
PlexA,0.0,5.25466389381,0.000386116522864,5.99330066789
Mp,0.0,6.88480211919,0.000386116522864,5.99330066789
kek1,7.69028387996,4.63215809609,0.00053936770472,8.37206551266
caup,0.0,3.80591698212,0.000542166280837,8.41550501115
Tsp29Fb,0.0,7.67017507589,0.000542166280837,8.41550501115
apt,8.14994863158,0.0,0.000542166280837,8.41550501115
mub,8.52090408329,4.77775417373,0.00055308909204,8.58504888665
Rbp9,8.47573985465,3.88697421978,0.000787953959844,12.2306213647
CG15537,11.8745296101,7.83821291222,0.000787953959844,12.2306213647
