symbol,medianA,medianB,pvalue,pvalue_adj
hth,10.8339140142,0.0,1.11685890367e-05,0.173358839028
CG30089,0.0,5.76918346662,1.87923035691e-05,0.291694136
DIP-eta,3.93546685933,0.0,1.87923035691e-05,0.291694136
CG31676,9.43812012325,0.0,1.87923035691e-05,0.291694136
Moe,10.0065747926,2.12091261863,2.05109686014e-05,0.318371254631
CG15765,7.60377108603,1.15774207774,3.56123299774e-05,0.552774585909
CG2082,0.0,11.3638525014,4.58679335698e-05,0.711962064871
CG42339,8.96935058342,0.0,5.07461880929e-05,0.787682331577
C15,0.0,9.41577464245,6.2654363942e-05,0.972521037107
CG7985,9.19984982921,0.0,0.000151723321511,2.3550493965
Cbp53E,10.9826017334,7.67813922486,0.000186526072248,2.89525769344
Hsp70Bb,6.45872661541,4.92635530363,0.000191538245668,2.97305664926
IP3K2,9.22437393229,0.0,0.000191695863289,2.97550318997
pros,9.18510823599,10.5350816098,0.000238840864478,3.70728789844
mCD8-GFP,12.7865774977,11.151649755,0.000295206040972,4.58218816797
Drep3,0.0,8.48738558944,0.000324921862813,5.04343715458
CG15537,11.5243417946,8.0710063494,0.000361849544811,5.61662863455
Non1,9.33543472638,0.0,0.000403173249831,6.25805518388
acj6,0.0,3.06451041053,0.000505276606553,7.84290348691
dpr15,5.30875786586,0.0,0.000542166280837,8.41550501115
UQCR-11,9.08960623694,8.16325545011,0.00055308909204,8.58504888665
pyd,7.12806278747,0.0,0.000746609897836,11.5888788342
rdgB,8.02086510221,0.0,0.000746609897836,11.5888788342
CG14314,8.32032698326,0.0,0.000755145951111,11.7213754531
nrv2,8.37426601906,0.0,0.000792514928053,12.3014167132
rdgC,5.95616804661,0.0,0.000916382889454,14.2240952101
CG11000,0.0,8.0687799,0.00107504485903,16.6868463018
mRpS24,7.25779245062,2.52976746377,0.00107504485903,16.6868463018
hpo,6.29927089923,0.0,0.00126291265293,19.6029301988
CG7878,8.20791432123,0.0,0.00126291265293,19.6029301988
mod(r),7.41797611664,0.0,0.00138410255674,21.4840398857
CG1402,0.0,3.01461851249,0.00142779274305,22.1621989576
CG12341,0.0,6.96196817923,0.00142779274305,22.1621989576
twit,3.64913495374,0.0,0.00142779274305,22.1621989576
DIP-theta,6.56582360075,0.0,0.00142779274305,22.1621989576
fas,0.0,2.82243219184,0.00142779274305,22.1621989576
Tina-1,7.83149588357,9.08745216131,0.00147282307527,22.8611597743
mRpL23,7.01473651952,0.0,0.00150721646069,23.3950139029
Sema-2b,0.0,6.2586709244,0.00156917424068,24.3567225639
rad,0.0,5.72327854763,0.00161732083694,25.1040540309
FKBP59,8.65106170325,0.0,0.00166511987523,25.8459907033
PVRAP,0.0,7.40212020853,0.00171566764987,26.6305932612
CG3556,8.07795659161,9.98546290178,0.00176053230348,27.3269824146
mtd,7.10996817193,9.0440337943,0.00177131609779,27.4943684699
Eno,12.8797268124,12.0896021766,0.00177491931746,27.5502976456
ND-15,9.05457601332,8.46966449264,0.00177491931746,27.5502976456
CG42613,0.0,4.46071813682,0.00196453706682,30.4935443511
CG11537,0.0,4.02883120131,0.00196453706682,30.4935443511
apt,8.66304987911,0.0,0.00205903263078,31.960304495
CG1637,7.18037228867,9.43474787434,0.00209086789089,32.4544514023
CG32225,10.9143641804,9.57269064088,0.0025539527125,39.6424540034
His4r,8.01254146557,9.09342477668,0.0025539527125,39.6424540034
Ufd1-like,3.31356378557,7.78581773117,0.00260376866526,40.4156972221
CG18766,7.98991452486,0.0,0.0026641228572,41.3525149895
Scp2,9.52356707466,0.0,0.00278672611851,43.2555628115
Parp,3.01923417467,0.0,0.00286910496103,44.534247205
Cpr,7.64901751399,0.0,0.0029371589306,45.5905809207
Hk,8.14686657051,9.03358958554,0.00304947296561,47.3339193722
sda,5.58438386596,0.342446226799,0.00328417982783,50.9770392876
CG42239,5.22591882306,0.0,0.00331651673921,51.4789728259
mask,0.0,7.85583114645,0.00331651673921,51.4789728259
Prosalpha5,6.53804517137,0.0,0.00344965301637,53.54551412
CG14100,2.80467641741,0.0,0.00352705120034,54.7468887317
Nprl2,2.12734475194,0.0,0.00352705120034,54.7468887317
CG4496,0.359598817366,0.0,0.00352705120034,54.7468887317
Gga,1.66439861581,0.0,0.00352705120034,54.7468887317
tsh,0.57351265323,0.0,0.00352705120034,54.7468887317
RabX1,0.0,2.02873323852,0.00352705120034,54.7468887317
CG13004,0.0,1.04511273881,0.00352705120034,54.7468887317
CG4565,1.71503643484,0.0,0.00352705120034,54.7468887317
per,2.17336236634,0.0,0.00352705120034,54.7468887317
beat-Vc,0.0,3.72688561771,0.00352705120034,54.7468887317
Dscam2,0.0,2.51395933807,0.00352705120034,54.7468887317
caup,0.0,0.84109720906,0.00352705120034,54.7468887317
Mical,0.526492425715,0.0,0.00352705120034,54.7468887317
tay,2.9926032974,0.0,0.00359044554028,55.7308956763
