symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.65364376003,0.0,5.13445780758e-06,0.0796970540892
C15,0.0,9.92979221737,1.87923035691e-05,0.291694136
nAChRalpha1,7.27921834716,0.366528302008,3.36991026146e-05,0.523077470784
pyd,6.15030988585,0.0,5.07461880929e-05,0.787682331577
CG2082,3.74069955803,11.3726183684,5.46570872633e-05,0.848387308501
beat-IV,8.43671779949,0.0,5.78208106649e-05,0.897494623141
acj6,0.0,5.25804970565,6.2654363942e-05,0.972521037107
CG31676,9.84344157865,0.0,6.2654363942e-05,0.972521037107
CG30089,0.0,7.11954533986,6.2654363942e-05,0.972521037107
Scp2,9.89622985928,0.0,6.2654363942e-05,0.972521037107
IP3K2,8.61787030352,0.0,6.2654363942e-05,0.972521037107
Cbp53E,11.5948796099,8.87635405072,7.78979465439e-05,1.20913192626
CG7985,9.23969509653,0.0,8.15947380484e-05,1.26651352399
rdgC,7.36092435355,0.0,9.0096108543e-05,1.3984717968
GluClalpha,9.66243915899,7.68499592586,9.80807368533e-05,1.52240919744
hth,10.5019238443,1.05837434652,0.000181067514352,2.81052995777
CG32052,8.38345201289,0.0,0.000191695863289,2.97550318997
CG42339,9.03687765814,0.0,0.000191695863289,2.97550318997
dpr15,5.6258554211,0.0,0.000191695863289,2.97550318997
nAChRalpha6,8.88315669024,6.79521095885,0.000192101013517,2.98179193182
mCD8-GFP,12.6950840036,11.5644579144,0.000238840864478,3.70728789844
kek1,7.66428488763,6.00191136082,0.00045046779818,6.99216116335
rad,0.0,7.05239768946,0.000494091150955,7.66928284512
PVRAP,0.0,7.70910204992,0.000505276606553,7.84290348691
nAChRalpha2,9.63715204414,6.4835618668,0.00053936770472,8.37206551266
Taf6,0.0,6.38425109688,0.000542166280837,8.41550501115
CG42674,6.50804846182,0.0,0.000542166280837,8.41550501115
AstA-R1,2.52612652928,0.0,0.000542166280837,8.41550501115
CG9896,7.66462218492,0.0,0.000542166280837,8.41550501115
caup,0.0,3.02763251584,0.000542166280837,8.41550501115
CR32745,0.0,1.26890006147,0.000542166280837,8.41550501115
kat-60L1,0.0,7.918732472,0.000589256886706,9.14644539545
CG15765,7.17955463808,2.14759420026,0.000597201954302,9.26976873468
Mp,0.0,5.30139590931,0.000741696486829,11.5126128686
mRpL45,0.0,7.79750923691,0.000755145951111,11.7213754531
bru-3,0.0,6.75442590875,0.000924738753125,14.353794926
CG32700,8.89809665732,4.5054051909,0.000982205636211,15.2457958853
CG42342,9.45636524295,8.59043486285,0.000995695028697,15.4551782354
rgn,9.82892491692,5.74403853263,0.00100248323755,15.5605448133
CG9328,10.5315807664,9.92163362066,0.00100475242783,15.5957671848
Ddc,10.4903519005,9.3312628172,0.00121836740449,18.9114988526
lgs,0.0,2.31768491473,0.00142779274305,22.1621989576
twit,6.88242563163,0.0,0.00142779274305,22.1621989576
CG12093,0.0,7.30243642707,0.00142779274305,22.1621989576
Dop2R,4.52109603074,0.0,0.00142779274305,22.1621989576
Bet5,0.0,5.23769430135,0.00142779274305,22.1621989576
Cow,8.02251453257,0.0,0.00148723147035,23.0848068828
loco,0.0,3.59260967092,0.00161732083694,25.1040540309
Droj2,9.79374776262,10.8957784052,0.00177491931746,27.5502976456
CG32204,4.51352128458,0.0,0.00194175002269,30.1398438521
CG15514,0.0,6.43527868172,0.00228171554653,35.4167887132
CG45263,0.0,7.06868827789,0.00237816800051,36.9139237038
CG4887,0.0,6.94091989794,0.00242787202676,37.6854295993
Octbeta3R,0.0,3.52841441962,0.00255244743278,39.6190890516
alpha-Cat,0.0,4.49113756776,0.00255244743278,39.6190890516
Dic1,8.06463651093,9.65028592757,0.0025539527125,39.6424540034
Eno,12.8997642439,12.5620641561,0.0025539527125,39.6424540034
CG6329,9.65984487792,8.9781189229,0.00304947296561,47.3339193722
Hsp70Bb,6.14191407506,5.22169546484,0.00304947296561,47.3339193722
CG3149,8.21075252773,0.0,0.00307529397712,47.7347131128
apt,7.58962969348,0.0,0.00309625179863,48.0600204183
SPoCk,4.32448908597,0.0,0.00331651673921,51.4789728259
run,0.0,1.3057729592,0.00352705120034,54.7468887317
DIP-beta,0.0,1.1820680041,0.00352705120034,54.7468887317
TrissinR,3.3019143244,0.0,0.00352705120034,54.7468887317
CG10139,0.0,0.448608195785,0.00352705120034,54.7468887317
CG32473,0.0,3.89351848316,0.00352705120034,54.7468887317
CG7943,6.31931227717,9.26360520079,0.00356688708755,55.3652213729
Gycbeta100B,8.00764460097,3.77878880397,0.00360467167913,55.9517138034
ben,6.82720637428,7.90535529173,0.0036299774941,56.3445106633
CG43729,8.34991457468,10.439079928,0.0036299774941,56.3445106633
Dscam2,0.0,5.14867075556,0.00364894251992,56.6388857942
CG4829,0.0,4.43639716496,0.00364894251992,56.6388857942
CG17977,0.0,4.35552345122,0.00364894251992,56.6388857942
Pdfr,0.0,1.66220122506,0.00364894251992,56.6388857942
trio,0.5121006917,7.6392417847,0.0037223401689,57.7781641017
dbo,2.42351440662,7.77156537329,0.00391260416836,60.7314419014
CG33543,9.38465927221,7.09136368403,0.00416441879531,64.6401085409
ATPsynE,9.70686184108,9.31712508581,0.00430777905941,66.8653465602
sra,9.76635713873,8.50941931574,0.00430777905941,66.8653465602
RpII15,0.0,7.27108144112,0.00493654540271,76.6250577408
mRpL49,7.62401529055,0.0,0.00498665807882,77.4029066995
CG6412,6.19214149925,9.50452915377,0.00506374462822,78.5994441192
RpLP0,9.15035365117,9.75120607364,0.00508834087578,78.9812270738
Eaat2,10.954255057,10.2036596848,0.00509655249555,79.108687836
DIP-theta,6.40424005622,0.0,0.0053005570512,82.2752465487
Fife,5.56931587071,0.0,0.00540745351568,83.9344934703
CG3527,0.0,3.82418240181,0.00545841288083,84.7254847362
CG7834,3.63444375111,0.0,0.00545841288083,84.7254847362
Rab27,9.13388145492,8.30636508691,0.00552847790733,85.8130340775
vih,0.0,8.07209574283,0.00570910433234,88.6167174465
pan,5.49491113618,0.0,0.00570910433234,88.6167174465
CG1943,7.45787754306,0.0,0.00571579258186,88.7205324556
Lis-1,10.0715548079,8.93051646323,0.00601141270381,93.3091479885
BuGZ,0.0,2.02707719904,0.00640153135102,99.3645696306
slmo,3.90969688053,4.53753150684,0.0064228111727,99.6948750227
GalT1,8.69431379328,0.0,0.0064649498014,100.348950817
Drep3,2.04614648215,8.76908390624,0.00649274409288,100.78037381
Octbeta1R,0.0,6.84051295093,0.00653613018271,101.453812696
CG9766,0.0,5.99678119055,0.00653613018271,101.453812696
Arfrp1,1.45407816046,0.0,0.00663282670479,102.954736112
dpr3,0.0,2.50773986337,0.00663282670479,102.954736112
SNF4Agamma,0.0,1.18460335048,0.00663282670479,102.954736112
CG31221,9.44943497637,10.3303468988,0.00706898472796,109.724780947
CG8216,9.01361992939,5.72198021512,0.00727208916095,112.877367956
Fas2,7.49154661334,0.608402450985,0.00763910951658,118.574257916
CG5532,0.0,6.43143408539,0.00763910951658,118.574257916
heph,0.0,4.40315298346,0.00770023265441,119.523011262
CG10465,0.0,6.90986378528,0.00770143730756,119.541709888
dpr5,0.0,7.74274205088,0.00770143730756,119.541709888
CG12746,0.0,7.4274910316,0.00802528727053,124.568509013
wry,0.0,1.22268379915,0.00802528727053,124.568509013
Su(dx),8.54253345098,4.72065690917,0.00805333439793,125.003856525
CG10947,0.0,8.22105746063,0.00805893116142,125.090729488
fs(1)h,3.18215607479,7.48758670695,0.0081700454027,126.815444741
CG31674,0.0,0.0,0.00823657790279,127.848162207
CG31814,0.0,0.0,0.00823657790279,127.848162207
PGRP-LE,0.0,0.0,0.00823657790279,127.848162207
RNaseP:RNA,0.0,0.0,0.00823657790279,127.848162207
ProRS-m,0.0,0.0,0.00823657790279,127.848162207
Ror,0.0,0.0,0.00823657790279,127.848162207
CG4914,0.0,0.0,0.00823657790279,127.848162207
CG31075,0.0,0.0,0.00823657790279,127.848162207
CR44018,0.0,0.0,0.00823657790279,127.848162207
dpr6,0.0,0.0,0.00823657790279,127.848162207
CR45018,0.0,0.0,0.00823657790279,127.848162207
Sras,0.0,0.0,0.00823657790279,127.848162207
MsR1,0.0,0.0,0.00823657790279,127.848162207
CG13004,0.0,0.0,0.00823657790279,127.848162207
fsd,0.0,0.0,0.00823657790279,127.848162207
CG15118,0.0,0.0,0.00823657790279,127.848162207
CG31191,0.0,0.0,0.00823657790279,127.848162207
CG1537,0.0,0.0,0.00823657790279,127.848162207
cib,0.0,0.0,0.00823657790279,127.848162207
CG17839,0.0,0.0,0.00823657790279,127.848162207
CG10512,0.0,0.0,0.00823657790279,127.848162207
Hrs,0.0,0.0,0.00823657790279,127.848162207
Rgk2,0.0,0.0,0.00823657790279,127.848162207
Ccz1,0.0,0.0,0.00823657790279,127.848162207
dpr1,0.0,0.0,0.00823657790279,127.848162207
hppy,0.0,1.70918008583,0.0082400050643,127.901358608
CG3803,0.0,8.67272019505,0.00826542146736,128.295872016
CG5946,8.96142026346,9.95224319401,0.00827568991394,128.455258844
Aac11,7.31703504704,8.91176752567,0.00828746337493,128.638006506
Hsc70-4,12.1526318593,11.4758664425,0.00828746337493,128.638006506
Pitslre,6.53850001724,3.80312173209,0.00883889186471,137.197279524
CG4239,7.37738842283,0.0,0.00896604537191,139.170956263
z,0.0,6.89114129015,0.00922543868928,143.197259335
CG5466,9.19057244625,3.80039877881,0.00931722324471,144.621939204
mod(r),7.54428415647,0.0,0.00952535138118,147.852504139
Task6,0.0,6.01935887224,0.00957854978099,148.678249701
CG1402,0.0,2.18545070901,0.00966848626792,150.074243851
Eip71CD,3.06761895972,0.0,0.00966848626792,150.074243851
igl,10.8910208675,11.5558606727,0.0096866596658,150.356331332
CG32225,10.9566569673,10.3945478633,0.0096866596658,150.356331332
mtd,6.69033742009,9.04259000983,0.0096866596658,150.356331332
CG4287,0.0,8.3928585208,0.00970929361144,150.707655437
Xpc,0.0,2.4365284405,0.00974606052132,151.278351412
Sec63,2.60615865358,0.0,0.00974606052132,151.278351412
Zyx,6.48691771749,2.64594643729,0.00997795713259,154.877850612
oaf,0.0,5.32672266638,0.0103424167488,160.534992776
CG42813,8.92198800641,4.88573730337,0.0104769505192,162.623225958
CG1927,8.2041435708,2.89072882768,0.0104769505192,162.623225958
CG42784,6.36634832131,0.0,0.0108968262449,169.140536974
CG5447,0.0,6.25503610661,0.011008781754,170.878310386
CG4557,0.0,6.82833720484,0.011008781754,170.878310386
p130CAS,0.0,6.3763086606,0.0110568859277,171.62498337
Naam,8.57398083684,0.0,0.0110568859277,171.62498337
Ktl,10.1760470064,9.19495221642,0.0112880312616,175.212821242
Bacc,9.08051834107,9.64880243231,0.0112880312616,175.212821242
CR45597,0.0,1.06427514594,0.0115984223418,180.030711589
Tsp29Fb,0.0,3.50213114334,0.011783775848,182.907768713
CG12393,0.0,2.39031981346,0.011783775848,182.907768713
larp,0.0,0.5439626146,0.011783775848,182.907768713
beat-VI,0.0,1.31319782083,0.011783775848,182.907768713
JHDM2,0.0,3.19004785447,0.011783775848,182.907768713
Sry-delta,0.0,3.03351971463,0.011783775848,182.907768713
CG9705,0.0,2.1712435178,0.011783775848,182.907768713
rogdi,9.85289973976,8.11405599565,0.0120172595735,186.531903099
