symbol,medianA,medianB,pvalue,pvalue_adj
Scp2,10.2939285723,0.0,5.13445780758e-06,0.0796970540892
Cbp53E,11.6106077313,8.88673308997,1.82922767695e-05,0.283932720016
DIP-eta,5.06604292621,0.0,1.87923035691e-05,0.291694136
C15,0.0,9.65376759437,1.87923035691e-05,0.291694136
acj6,0.0,6.65520276841,1.87923035691e-05,0.291694136
CG2082,0.0,11.7040579979,1.88783859368e-05,0.293030306511
hth,10.6826340215,7.45364717434,2.78712282901e-05,0.43261720552
nAChRalpha6,8.92507143009,7.58102327569,4.86728378236e-05,0.755499788697
GluClalpha,9.53962078202,7.63104292242,4.86728378236e-05,0.755499788697
IP3K2,8.37808219304,0.0,6.2654363942e-05,0.972521037107
apt,8.1477707284,0.0,6.2654363942e-05,0.972521037107
heph,0.0,6.30772827696,9.43200352927e-05,1.46403558781
rdgC,7.30634638351,0.0,9.43200352927e-05,1.46403558781
CG31676,9.61657730921,0.0,0.000148206009967,2.30045368671
CG7985,9.00771828335,0.0,0.000166728382707,2.58795795638
CG42339,9.18616531648,0.0,0.000188639994557,2.92806999551
dpr18,0.0,7.80887223729,0.000188639994557,2.92806999551
CG12093,0.0,7.20566772646,0.000191695863289,2.97550318997
igl,10.8652250235,11.8200225906,0.000192101013517,2.98179193182
Vhl,0.0,6.91696088765,0.000239209057348,3.71300298815
Sema-2b,0.0,6.35970452564,0.00039571968757,6.14236099045
CG30089,0.0,7.94316677149,0.000401100451324,6.22588120545
CG9896,7.27875949085,0.0,0.000542166280837,8.41550501115
CG32052,5.19346207357,0.0,0.000542166280837,8.41550501115
caup,0.0,3.07828156445,0.000542166280837,8.41550501115
tna,4.53966069774,6.21562704664,0.000547573038485,8.49942870336
A2bp1,6.56624047849,8.03695124316,0.00055308909204,8.58504888665
CG43729,9.15540997355,10.2485765587,0.00055308909204,8.58504888665
CG34353,4.86798434109,0.0,0.00058095302954,9.01755292451
CG8866,0.0,7.68744627937,0.000599404297285,9.30395350247
CG10947,0.0,8.22600906682,0.000634034528259,9.84148394764
CG8032,0.0,8.97749422612,0.000746008722863,11.5795473963
kek1,7.77788863125,5.64785200833,0.000826019728117,12.8214782198
Drep3,0.0,8.58524380012,0.000912230265352,14.1596381788
beat-Ib,7.64868137153,0.0,0.000912230265352,14.1596381788
oaf,0.0,7.22208907798,0.0010139646038,15.7387585801
mspo,8.9459128404,6.54060092087,0.00119195654579,18.5015495037
Argk,12.5269344822,12.7865173691,0.00121836740449,18.9114988526
rgn,9.7601703893,8.00566137334,0.00121836740449,18.9114988526
fru,8.32213094875,4.38959963794,0.00124181627851,19.275472275
Mulk,7.585132918,0.0,0.00126291265293,19.6029301988
beat-IV,6.94058677628,0.0,0.00139888360254,21.7134712786
CG9467,0.0,4.50753300158,0.00142779274305,22.1621989576
dpr15,4.22687436088,0.0,0.00142779274305,22.1621989576
Xpc,0.0,3.82814550744,0.00142779274305,22.1621989576
fws,0.0,6.28777280924,0.00142779274305,22.1621989576
DIP-beta,0.0,1.61779936561,0.00142779274305,22.1621989576
Df31,7.05962268368,8.20996516205,0.00147282307527,22.8611597743
Fas2,7.70331481891,1.66018446928,0.0015028760232,23.3276416321
CG12541,0.0,5.34749219176,0.00156917424068,24.3567225639
Vti1a,7.96051056523,0.0,0.00163600897563,25.3941313198
Prosalpha4,0.0,7.47756383622,0.00171566764987,26.6305932612
Pex5,0.0,7.45859739388,0.0018668701386,28.9775582913
PVRAP,0.0,7.92617416431,0.00194175002269,30.1398438521
shot,5.38558504302,0.0,0.00197494511039,30.6550980034
Task6,0.0,5.48471267943,0.00197494511039,30.6550980034
CG42674,7.00007456566,0.0,0.00205903263078,31.960304495
CG32700,9.0567282178,7.31570669653,0.00211572035207,32.8402113049
EndoB,9.72640741402,8.51153554035,0.00213238245702,33.0988404978
betaTub56D,11.1206533596,12.1075207162,0.00213238245702,33.0988404978
CG11752,8.46621836688,7.59983959998,0.00213238245702,33.0988404978
lawc,4.55663659254,6.9745347678,0.00218053624123,33.8462835364
CG1402,0.0,3.78612507557,0.00228171554653,35.4167887132
CG15765,7.17955463808,2.81608892519,0.00228994716263,35.5445598584
Myo81F,0.0,4.25204102083,0.00239300692391,37.1442534729
CG8216,8.52095208121,0.0,0.00242461696602,37.6349045466
Mgat2,3.3524494537,8.92221723351,0.00274804120397,42.6550955681
CG4645,7.4437484674,0.0,0.0029371589306,45.5905809207
VhaM8.9,9.45169613916,10.2340776396,0.00304947296561,47.3339193722
IA-2,11.505122111,10.8840935187,0.00304947296561,47.3339193722
CG15630,6.62931218467,0.0,0.00307529397712,47.7347131128
EMC3,7.26470430715,0.0,0.00319987388694,49.6684424731
l(1)G0289,8.66367362462,0.6158084762,0.00328417982783,50.9770392876
Bgb,2.79699064635,8.31867949291,0.00328417982783,50.9770392876
CG30010,0.0,6.79148700637,0.00331651673921,51.4789728259
Evi5,0.0,7.50075465712,0.00344965301637,53.54551412
CG17931,0.0,5.87738413675,0.00348497681177,54.0938100723
CG9705,0.0,1.1333745674,0.00352705120034,54.7468887317
Non3,0.0,1.70472128014,0.00352705120034,54.7468887317
Dop2R,1.8834884263,0.0,0.00352705120034,54.7468887317
CG11164,0.0,3.3920709099,0.00352705120034,54.7468887317
CG7011,1.0271464639,0.0,0.00352705120034,54.7468887317
CG13900,0.0,0.37171447683,0.00352705120034,54.7468887317
ara,0.0,2.46995972738,0.00352705120034,54.7468887317
CG42747,0.0,1.1023078843,0.00352705120034,54.7468887317
lbk,0.55889023309,0.0,0.00352705120034,54.7468887317
CG10512,0.0,3.19632103278,0.00352705120034,54.7468887317
vvl,0.92539381552,0.0,0.00352705120034,54.7468887317
puf,0.0,1.3643309742,0.00352705120034,54.7468887317
Pde11,0.0,1.1730168809,0.00352705120034,54.7468887317
CG31999,0.0,1.06394058143,0.00352705120034,54.7468887317
CG32204,2.51420249705,0.0,0.00352705120034,54.7468887317
CG7565,0.0,3.56646052753,0.00359044554028,55.7308956763
dpr3,0.0,4.07915785876,0.00359044554028,55.7308956763
ND-75,9.9536975667,10.6573325763,0.0036299774941,56.3445106633
blp,0.0,6.76538925532,0.00364894251992,56.6388857942
insv,0.0,6.5699045905,0.00364894251992,56.6388857942
CR42861,0.0,5.92883502721,0.00373444360938,57.9660337047
CG12236,0.0,5.66123179699,0.00374224898317,58.0871887168
CG6805,0.0,7.00158419922,0.00374224898317,58.0871887168
CG16771,0.0,4.78877644031,0.00374224898317,58.0871887168
CG14982,6.33996636614,4.50404823508,0.00388846980714,60.3568283465
Octbeta1R,0.0,7.93079633177,0.0040621522325,63.0527269528
rad,0.0,6.88737707722,0.0041336439511,64.162421409
RpL28,4.5675971672,6.83424848232,0.00427891027272,66.4172452531
Non1,9.32920002931,8.21519355432,0.00430055266134,66.7531784093
CG42342,9.46526840245,8.19468238592,0.00430777905941,66.8653465602
Atpalpha,14.097025213,13.6893025324,0.00430777905941,66.8653465602
larp,0.0,1.51195589934,0.00437130777888,67.8514393438
Tsp29Fb,0.0,6.89419430235,0.00447257634231,69.4233299853
CR32111,0.0,1.29865385638,0.00447257634231,69.4233299853
pgant2,0.0,2.15062863227,0.00447257634231,69.4233299853
CG1537,5.40840818402,0.0,0.00447257634231,69.4233299853
CG5021,1.39579413013,7.77366021502,0.00464668781242,72.1258882244
CG11000,0.0,6.76786097028,0.00464668781242,72.1258882244
MED21,3.32849043857,7.25115800783,0.00493354571083,76.5784965235
rump,0.0,7.80731843034,0.00493654540271,76.6250577408
loqs,7.60149845054,8.48806899618,0.00508834087578,78.9812270738
COX5A,11.786483224,11.3517872545,0.00509655249555,79.108687836
CG32225,11.0313711766,10.3808279272,0.00509655249555,79.108687836
CG42541,0.0,5.13775087961,0.0053005570512,82.2752465487
l(2)k01209,0.0,7.78010306719,0.00545841288083,84.7254847362
CG3876,8.38434379627,0.50755658799,0.00550127178673,85.3907406736
RpL27A,0.0,6.26639474276,0.00570910433234,88.6167174465
AsnRS,0.0,8.52316416603,0.00571579258186,88.7205324556
CG14903,0.0,6.35402452793,0.00586160832233,90.9838843792
CG7781,11.1068154605,10.6379722695,0.00601141270381,93.3091479885
CG9410,5.11012118035,7.42849327959,0.00617968770751,95.9211125959
SRm160,0.0,7.14667426118,0.0064436900087,100.018956315
CG31648,0.0,6.23160677688,0.0064649498014,100.348950817
Mmp2,5.86358511085,0.0,0.00653613018271,101.453812696
AstA-R1,2.74228064264,0.0,0.00653613018271,101.453812696
GlyS,0.63280346392,8.47238633328,0.00670625474974,104.094486225
Cow,6.01859581116,1.2364192076,0.00686066545951,106.491249262
RpS24,6.8471155366,7.87085485436,0.00686066545951,106.491249262
CG4678,0.0,8.34758020052,0.00696973433282,108.184216314
CG10417,0.0,6.10210860653,0.00700700427144,108.762720301
Moe,8.99989875141,6.54296900144,0.00702709940089,109.074636901
svr,8.96135431439,7.44102706779,0.00706898472796,109.724780947
CG32104,0.0,6.39133687435,0.00770023265441,119.523011262
Cen,0.0,4.78207418102,0.00781736611063,121.341156769
CG9395,0.0,1.73626927902,0.00802528727053,124.568509013
l(1)G0193,5.64745679325,0.0,0.00802528727053,124.568509013
CG9636,5.95906894936,7.66740097112,0.00805333439793,125.003856525
CG32544,0.0,5.07235971096,0.00805893116142,125.090729488
Rel,0.0,0.0,0.00823657790279,127.848162207
angel,0.0,0.0,0.00823657790279,127.848162207
CG8204,0.0,0.0,0.00823657790279,127.848162207
ssp6,0.0,0.0,0.00823657790279,127.848162207
TrissinR,0.0,0.0,0.00823657790279,127.848162207
Use1,0.0,0.0,0.00823657790279,127.848162207
CG9650,0.0,0.0,0.00823657790279,127.848162207
CR45018,0.0,0.0,0.00823657790279,127.848162207
Sec5,0.0,0.0,0.00823657790279,127.848162207
CG31191,0.0,0.0,0.00823657790279,127.848162207
PPO2,0.0,0.0,0.00823657790279,127.848162207
IntS11,0.0,0.0,0.00823657790279,127.848162207
twit,0.0,0.0,0.00823657790279,127.848162207
CG3071,0.0,0.0,0.00823657790279,127.848162207
CG10321,0.0,0.0,0.00823657790279,127.848162207
Trim9,0.0,0.0,0.00823657790279,127.848162207
CG43759,0.0,0.0,0.00823657790279,127.848162207
pog,0.0,0.0,0.00823657790279,127.848162207
CG33267,0.0,0.0,0.00823657790279,127.848162207
Sh3beta,0.0,0.0,0.00823657790279,127.848162207
cib,0.0,0.0,0.00823657790279,127.848162207
tsh,0.0,0.0,0.00823657790279,127.848162207
inc,8.22329793851,0.0,0.0082400050643,127.901358608
CG15537,11.394669099,9.62629691327,0.00824041168623,127.907670194
sra,9.72790705558,8.26971377405,0.00824041168623,127.907670194
Aac11,7.56458028787,9.19736169239,0.00828746337493,128.638006506
PRAS40,0.0,8.08931957747,0.00896604537191,139.170956263
akirin,0.0,3.86075985791,0.00931456777471,144.580720999
Dscam3,0.0,3.04905022557,0.00931456777471,144.580720999
CG3793,7.85596503692,0.0,0.00952535138118,147.852504139
nAChRalpha1,5.6452692444,0.0,0.00957854978099,148.678249701
flw,8.95740960889,8.05807582995,0.00963401099964,149.539118736
CG34354,0.0,3.31758146724,0.00966848626792,150.074243851
CG31360,0.0,2.82625654222,0.00966848626792,150.074243851
Pabp2,0.0,1.05151920259,0.00966848626792,150.074243851
HmgZ,6.8376616901,8.56300848105,0.0096866596658,150.356331332
Eaat2,11.1103271192,10.025853647,0.0096866596658,150.356331332
ND-B15,8.01778912342,7.20254652199,0.0096866596658,150.356331332
ATPsyndelta,9.67063042618,9.3922298777,0.0096866596658,150.356331332
CG31357,0.0,5.20796528112,0.00970929361144,150.707655437
path,8.78842520965,0.0,0.00971815874941,150.845260108
CG13375,0.0,2.19172786094,0.00974606052132,151.278351412
uex,0.0,2.25094582861,0.00974606052132,151.278351412
corn,0.0,0.78927403047,0.00974606052132,151.278351412
pyd,7.07318694735,3.01565533773,0.00997795713259,154.877850612
Fife,6.29930749471,0.0,0.010812027636,167.824292966
CG1578,0.0,5.376735995,0.010812027636,167.824292966
CG1637,7.33278355039,9.38396867373,0.010995767115,170.676297159
wake,0.0,5.05910800822,0.011008781754,170.878310386
Ubc4,0.0,6.74126786653,0.011008781754,170.878310386
nolo,0.0,3.33149688354,0.0110568859277,171.62498337
CG4407,0.0,7.26762759052,0.0112199271545,174.155709292
mtd,6.21759737738,7.96444067434,0.0112293518472,174.301999373
rogdi,9.87926074416,8.66203718166,0.0112293518472,174.301999373
Sod,11.1629891253,10.8430924229,0.0112880312616,175.212821242
Tom7,7.28565833194,7.98951003486,0.0112880312616,175.212821242
CG6770,7.66815151246,8.57358989238,0.0112880312616,175.212821242
Ddc,10.6333711081,9.04229444274,0.0112880312616,175.212821242
Fatp,0.0,7.58316625511,0.0114025301101,176.990072369
Med,0.0,1.97005666748,0.0115984223418,180.030711589
CG1812,0.0,1.88050316427,0.0115984223418,180.030711589
beat-Ic,3.02343561042,0.0,0.0115984223418,180.030711589
Hr78,0.0,3.02647492237,0.011783775848,182.907768713
CG7120,0.0,0.56110033123,0.011783775848,182.907768713
CG2926,0.63280346392,0.0,0.011783775848,182.907768713
CG6583,1.4346199209,0.0,0.011783775848,182.907768713
CG34370,6.68085476384,1.12995661688,0.0125484922768,194.77769712
Spt5,0.0,5.91964806045,0.0127422475789,197.785166919
CG43901,2.74126193387,5.46794890483,0.0127900973043,198.527890357
Cadps,1.13240288632,6.45543940871,0.0127900973043,198.527890357
CG9164,8.7672655855,7.4674494245,0.0127900973043,198.527890357
Cnot4,4.54418604853,6.89451593779,0.0127900973043,198.527890357
Fem-1,6.92342309231,8.54723837564,0.0129520479039,201.041687564
dpr6,0.0,6.71201073857,0.0130760452557,202.966374459
CG11873,0.0,4.80187000682,0.0130760452557,202.966374459
fl(2)d,0.0,6.19854474689,0.0131707186202,204.435894423
Set,0.0,7.30982520579,0.0131707186202,204.435894423
CG13995,0.0,7.33717689023,0.0131707186202,204.435894423
Tango1,7.37938543077,0.0,0.013304503679,206.512506106
GstE13,0.0,7.90061998891,0.013304503679,206.512506106
tup,4.81804974053,0.0,0.013304503679,206.512506106
RpS21,1.91073034419,5.32041067319,0.013701930013,212.681357662
Fcp1,1.0271464639,7.65202861015,0.013701930013,212.681357662
