symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,10.0582415319,5.13445780758e-06,0.0796970540892
DIP-eta,5.06604292621,0.0,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.3964750417,1.30214778044e-05,0.20211937848
Cbp53E,11.2422337461,8.34214905097,1.82922767695e-05,0.283932720016
Scp2,9.44175133197,0.0,1.87923035691e-05,0.291694136
acj6,0.0,6.82534820733,1.87923035691e-05,0.291694136
CG15765,7.18065268022,1.91789912566,4.69932122786e-05,0.729428640989
CG43729,8.9655877696,10.521365847,4.86728378236e-05,0.755499788697
PVRAP,0.0,7.40065912666,6.2654363942e-05,0.972521037107
CG42339,9.29349243314,0.0,6.2654363942e-05,0.972521037107
caup,0.0,4.17675291898,6.2654363942e-05,0.972521037107
CG30089,0.0,5.90864994635,0.00011600356004,1.80060725894
mCD8-GFP,12.7377626738,11.5651327144,0.000123103116411,1.91080657294
CR18854,8.46016278187,5.49366109237,0.000181067514352,2.81052995777
IP3K2,8.99341555905,0.0,0.000191695863289,2.97550318997
CG31676,9.19228880516,0.0,0.000191695863289,2.97550318997
hth,10.498488978,1.92173613641,0.000215892781976,3.35108776183
mtd,6.59605761191,9.48275741407,0.000295206040972,4.58218816797
CG7985,9.01115283333,0.0,0.000324921862813,5.04343715458
apt,8.66304987911,0.0,0.000376532512733,5.84453766264
nAChRalpha2,9.54999853393,0.0,0.000403173249831,6.25805518388
pros,9.23184133706,10.2561501808,0.00045046779818,6.99216116335
Eno,12.9146351784,12.5351710054,0.00045046779818,6.99216116335
rdgC,7.29962024951,0.0,0.000468514203725,7.27227747022
dpr3,0.0,4.58602209489,0.000542166280837,8.41550501115
mxt,7.48972365519,0.0,0.00058095302954,9.01755292451
igl,10.9999059301,11.7094649829,0.000826019728117,12.8214782198
Drep3,6.78754930141,9.0214244199,0.00102287859676,15.8771215789
dbo,0.380138032433,7.58697998313,0.00107504485903,16.6868463018
Moe,9.53242949844,6.28833399384,0.00119195654579,18.5015495037
CG14650,3.12782617939,0.0,0.00142779274305,22.1621989576
DIP-theta,3.74956399384,0.0,0.00142779274305,22.1621989576
