symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.06604292621,0.0,5.13445780758e-06,0.0796970540892
hth,10.5719103897,0.408912644882,1.59244638206e-05,0.247179527424
acj6,0.0,5.41708896495,1.87923035691e-05,0.291694136
C15,0.0,9.29373117587,6.2654363942e-05,0.972521037107
apt,8.66304987911,0.0,6.2654363942e-05,0.972521037107
CG2082,0.0,10.8314835693,6.44528980183e-05,1.00043788304
CG31676,9.42162007273,0.0,0.00011600356004,1.80060725894
Cbp53E,11.3189336982,6.79679321298,0.000122720086651,1.904861185
rdgC,7.53499883967,0.0,0.000208948864483,3.24330427451
CG15765,6.74432308777,2.65952716953,0.000295206040972,4.58218816797
mtd,6.00627624316,9.47786472069,0.000296021072947,4.59483909429
oaf,0.0,5.1601466452,0.000401100451324,6.22588120545
CG30089,0.0,6.72914328254,0.000401100451324,6.22588120545
CG42339,10.0534771619,0.0,0.000401100451324,6.22588120545
Scp2,9.91683701181,0.0,0.000431569263818,6.69881811299
CG7985,8.97426871552,0.0,0.000490627225359,7.61551579203
dpr15,3.07635317631,0.0,0.000542166280837,8.41550501115
alphaCOP,4.115256478,0.0,0.000542166280837,8.41550501115
DIP-beta,0.0,4.97424105109,0.000542166280837,8.41550501115
tsh,2.3559185924,0.0,0.000542166280837,8.41550501115
IP3K2,7.81430224955,0.0,0.000542166280837,8.41550501115
EMC1,7.653882235,0.0,0.00058095302954,9.01755292451
dpr3,0.0,7.48480330022,0.000986770339198,15.316649205
mCD8-GFP,12.585833606,10.8945234191,0.00100248323755,15.5605448133
CG15537,11.336440672,0.84704806765,0.00107504485903,16.6868463018
sra,9.52848993509,8.32660795876,0.00120776019566,18.746853757
CG31221,9.40248548489,10.658184128,0.00121836740449,18.9114988526
pros,9.41391480017,10.4773626253,0.00121836740449,18.9114988526
CG43778,0.0,4.23930637557,0.00126291265293,19.6029301988
Patj,0.0,6.78871837244,0.00126291265293,19.6029301988
CG14407,6.81045562234,0.0,0.00132692743138,20.5965675898
mRpL23,6.26680469869,0.0,0.00137316776791,21.3143100934
Mipp2,5.73511724646,0.0,0.00142779274305,22.1621989576
twit,7.72968528145,0.0,0.00142779274305,22.1621989576
caup,0.0,3.23875400249,0.00142779274305,22.1621989576
CG4341,1.1514621048,0.0,0.00142779274305,22.1621989576
CG1537,4.54466919983,0.0,0.00142779274305,22.1621989576
Octbeta3R,0.0,3.68610555394,0.00153061881771,23.7582652885
CG14535,0.0,6.39618877894,0.00156917424068,24.3567225639
CG6404,7.32704751037,0.0,0.00161732083694,25.1040540309
BI-1,9.41432333493,7.82252766924,0.00173908106987,26.9940163665
CG9328,10.5925780686,9.54348389919,0.00177491931746,27.5502976456
CG33156,8.30890894985,2.16343658283,0.00190593953565,29.5839934724
Parp,6.24321823892,0.0,0.00197494511039,30.6550980034
Ef1alpha48D,9.300729978,0.0,0.00197494511039,30.6550980034
galectin,8.04017623551,0.0,0.00201257007866,31.239112761
sw,6.77499156112,0.0,0.00237647722609,36.8876795033
CG12112,0.0,5.17308724138,0.00239300692391,37.1442534729
EcR,0.0,4.56662058065,0.00239300692391,37.1442534729
Drep3,0.0,8.67914522498,0.00242461696602,37.6349045466
Fife,7.47658747598,0.0,0.00249812865642,38.7759530049
Dyrk3,4.38223890402,0.0,0.00255244743278,39.6190890516
Hk,7.70446928186,9.19141309035,0.0025539527125,39.6424540034
fl(2)d,0.0,7.12618047146,0.0027480089233,42.6545945074
RpL19,8.6016669252,6.66625906433,0.00299439011492,46.4789233637
w,8.72812288623,7.09134215525,0.00299439011492,46.4789233637
dpr21,7.89048372631,6.08049152584,0.00304394018393,47.248039535
Ddc,10.0226539897,8.78235127767,0.00304947296561,47.3339193722
RpS10b,7.60753893806,2.71521053337,0.00311817639929,48.4003340699
Cp190,4.45989027204,0.0,0.00331651673921,51.4789728259
CG34353,5.2293355794,0.0,0.00331651673921,51.4789728259
Tsp29Fb,0.0,3.50213114334,0.00352705120034,54.7468887317
Trim9,0.0,0.73107043891,0.00352705120034,54.7468887317
CG12171,3.32461397499,0.0,0.00352705120034,54.7468887317
hng3,0.0,3.02940297479,0.00352705120034,54.7468887317
CG7565,0.0,1.22596582717,0.00352705120034,54.7468887317
parvin,1.6782530141,0.0,0.00352705120034,54.7468887317
M1BP,3.35672358055,0.0,0.00352705120034,54.7468887317
dpr18,0.0,0.53507744434,0.00352705120034,54.7468887317
CG9896,0.408536126991,0.0,0.00352705120034,54.7468887317
blw,13.446616151,13.0946697908,0.0036299774941,56.3445106633
Rtnl1,8.33399799684,9.64267956529,0.0036299774941,56.3445106633
spoon,0.0,2.50257341728,0.00364894251992,56.6388857942
PVRAP,0.0,6.71252639841,0.00364894251992,56.6388857942
Pde11,0.0,3.65255672856,0.00364894251992,56.6388857942
CG3149,5.84436406736,0.0,0.00373444360938,57.9660337047
CG15922,4.55884507611,0.0,0.00383068638571,59.4599140789
CG42613,2.69617217823,5.27544195736,0.00388846980714,60.3568283465
vlc,7.53227559611,0.0,0.0041336439511,64.162421409
Smg5,0.0,5.77199754756,0.00418611821577,64.9769269452
skap,10.4128684985,9.49929873481,0.00430777905941,66.8653465602
Eaat2,11.2672317775,9.98427956811,0.00430777905941,66.8653465602
Syt12,3.05099282523,0.0,0.00447257634231,69.4233299853
Dscam2,0.0,7.03755881058,0.00450661135093,69.9516213891
Ext2,7.66983918596,0.0,0.00478027785591,74.1994728795
CG14883,8.08205625028,0.0,0.00494472589418,76.7520353295
CG11221,0.0,7.7941946943,0.00494472589418,76.7520353295
alc,9.10616998112,6.96181617399,0.00508834087578,78.9812270738
ND-19,9.46607105429,8.90152154415,0.00509655249555,79.108687836
COX5A,11.786483224,11.2820555767,0.00509655249555,79.108687836
CG14817,5.98433158557,0.53507744434,0.00525425985974,81.5566215428
