symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,4.76859389553,0.0,5.13445780758e-06,0.0796970540892
CG42339,9.2685505175,0.0,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.6390853438,1.11685890367e-05,0.173358839028
Cbp53E,11.7325551503,8.61560226761,1.82922767695e-05,0.283932720016
acj6,0.0,3.89781855218,1.87923035691e-05,0.291694136
CG9896,7.74830559938,0.0,1.87923035691e-05,0.291694136
C15,0.0,9.26871011392,1.87923035691e-05,0.291694136
hth,10.6967413667,7.70907097462,2.89345043e-05,0.449121375744
IP3K2,7.97659468817,0.0,6.2654363942e-05,0.972521037107
apt,7.86125580242,0.0,7.39782380629e-05,1.14829021121
CG31676,9.61654623123,0.0,0.00011600356004,1.80060725894
heph,0.0,6.38736937822,0.00011600356004,1.80060725894
PVRAP,0.0,8.16433664992,0.000148206009967,2.30045368671
Scp2,9.55713608284,0.0,0.000151723321511,2.3550493965
Not1,0.0,5.25399652807,0.000172783050115,2.68193850389
AstA-R1,6.09801052589,0.0,0.000188639994557,2.92806999551
Ppcs,0.0,4.23587969228,0.000191695863289,2.97550318997
rdgC,8.0563077992,0.0,0.000232858915968,3.61443609366
l(3)03670,9.52945124816,7.57467952174,0.000296021072947,4.59483909429
CG7985,9.10709260063,0.0,0.000376532512733,5.84453766264
Fer1HCH,9.84131104326,10.278269888,0.00045046779818,6.99216116335
lbk,1.55819727944,0.0,0.000542166280837,8.41550501115
run,0.0,4.81746385473,0.000542166280837,8.41550501115
caup,0.0,4.34875229215,0.000542166280837,8.41550501115
GluClalpha,9.32170882125,6.58648993505,0.00055308909204,8.58504888665
CG31221,8.74348103247,10.6658157375,0.00055308909204,8.58504888665
Fas2,7.86979878482,0.0,0.000614632174771,9.5403206168
CG1637,4.02149383045,9.2007058286,0.000644725598377,10.007430738
fru,7.75771871554,4.97243343994,0.000660719458141,10.2556874293
igl,10.9859154187,11.9164944262,0.000676970721546,10.5079395398
Drep3,0.0,9.12450015903,0.000827498854029,12.8444372122
Cctgamma,8.3405217971,0.0,0.000919774599492,14.2767413333
CG34353,6.23362888755,0.0,0.000919774599492,14.2767413333
COX7A,10.7644200799,10.2082164201,0.00100475242783,15.5957671848
CG5569,7.89138635752,0.0,0.00107504485903,16.6868463018
CG13995,0.0,7.8029540954,0.00126291265293,19.6029301988
l(3)j2D3,2.48026709668,0.0,0.00142779274305,22.1621989576
CG10947,0.0,4.15023384309,0.00142779274305,22.1621989576
CG42313,0.0,2.1227835324,0.00142779274305,22.1621989576
app,0.0,2.11489744167,0.00142779274305,22.1621989576
ara,0.0,3.13786198144,0.00142779274305,22.1621989576
twit,6.74486891836,0.0,0.00142779274305,22.1621989576
CG30089,0.0,4.41633777565,0.00156917424068,24.3567225639
Non1,8.8083315861,6.61358094193,0.00170367355559,26.4444209299
beat-VII,0.0,8.41914047393,0.00171566764987,26.6305932612
DIP-theta,5.83906134672,0.0,0.00171566764987,26.6305932612
dpr6,0.0,7.26283105378,0.00228171554653,35.4167887132
Raf,3.21918385385,9.01366042104,0.0022921955282,35.5794589887
CG10338,0.0,1.9704995488,0.00239300692391,37.1442534729
AIMP3,0.0,7.67944398715,0.00242461696602,37.6349045466
Pde11,0.0,5.53698955544,0.00252281894047,39.159195594
CG1640,9.15726068603,7.79689051603,0.00254913889704,39.5677339598
mamo,8.46936880997,7.62062726017,0.0025539527125,39.6424540034
Fife,5.92548217431,0.0,0.00278672611851,43.2555628115
CG9328,10.6488402265,9.93691323289,0.00304947296561,47.3339193722
CG31345,7.24267298193,0.0,0.00344965301637,53.54551412
CG11779,6.23181732509,2.62264163661,0.00350437791695,54.3949540269
CG42747,0.0,1.13893195695,0.00352705120034,54.7468887317
CG14184,0.0,1.08391957618,0.00352705120034,54.7468887317
CG1537,2.42683560458,0.0,0.00352705120034,54.7468887317
vvl,0.92539381552,0.0,0.00352705120034,54.7468887317
CG13900,0.0,0.976583142835,0.00352705120034,54.7468887317
CG13004,0.0,0.893528671475,0.00352705120034,54.7468887317
CG15387,0.96462407916,0.0,0.00352705120034,54.7468887317
Gclc,0.647768981195,0.0,0.00352705120034,54.7468887317
Elk,0.50076295157,0.0,0.00352705120034,54.7468887317
CG9650,0.0,0.398863416819,0.00352705120034,54.7468887317
CG32204,0.93311357956,0.0,0.00352705120034,54.7468887317
mt:CoI,13.2371587838,12.5513376093,0.0036299774941,56.3445106633
CG43729,8.92762786301,10.4722299649,0.0036299774941,56.3445106633
l(2)gd1,4.66864879643,0.0,0.00364894251992,56.6388857942
Swip-1,7.81412095189,6.32637841062,0.00372253114903,57.7811284952
CG34393,5.4330295493,0.0,0.00374224898317,58.0871887168
CG33156,8.26023883734,0.0,0.0041336439511,64.162421409
mt:CoII,11.9276893759,11.3764398941,0.00430777905941,66.8653465602
CG31997,7.7816036105,0.0,0.00442947100501,68.7542489398
rig,1.45710663737,0.0,0.00447257634231,69.4233299853
mRpL40,5.46356453951,0.0,0.00451760512169,70.1222666989
CG5902,0.0,8.26094316548,0.00457076610572,70.9474314929
twin,7.19343842316,0.0,0.00478027785591,74.1994728795
mCD8-GFP,12.6002472684,11.715609607,0.00509655249555,79.108687836
Gdh,11.000847975,11.6793990473,0.00509655249555,79.108687836
nAChRalpha6,8.97834095661,7.31689546766,0.00509655249555,79.108687836
