symbol,medianA,medianB,pvalue,pvalue_adj
C15,0.0,9.35564962875,5.13445780758e-06,0.0796970540892
DIP-eta,5.09182381516,0.0,5.13445780758e-06,0.0796970540892
Drep3,0.0,8.66607396812,7.09569794446e-06,0.110139423494
CG2082,0.0,11.6461692176,1.11685890367e-05,0.173358839028
hth,10.2236167174,0.0,1.46238770616e-05,0.22699181975
Cbp53E,11.619158544,8.32791921162,1.82210136462e-05,0.282826573817
CG7985,9.3212452857,0.0,2.43019981857e-05,0.377215615839
igl,10.6686987341,11.8740356726,3.0028801484e-05,0.466107056635
CG43729,8.91868581356,10.5396721661,3.0028801484e-05,0.466107056635
CG42339,9.47417214546,0.0,3.03089062316e-05,0.470454842527
Sema-2b,0.0,5.84713489698,5.07461880929e-05,0.787682331577
acj6,0.0,4.08828965636,6.2654363942e-05,0.972521037107
rdgC,7.53499883967,0.0,0.000114191513836,1.77248067777
Hsp70Bb,6.34981035683,5.42558081662,0.000192101013517,2.98179193182
mtd,7.3560120182,9.11682809841,0.000238840864478,3.70728789844
Scp2,8.36223543844,0.0,0.000239209057348,3.71300298815
PVRAP,0.0,7.60061207495,0.00039571968757,6.14236099045
Gfat2,0.0,8.30424876771,0.000481941769935,7.48070015293
CG45263,0.0,6.69446082777,0.000481941769935,7.48070015293
fru,8.53649012824,0.0,0.000494091150955,7.66928284512
CG30089,0.0,4.20007755871,0.000542166280837,8.41550501115
IP3K2,6.40771521828,0.0,0.000542166280837,8.41550501115
twit,7.40524199201,0.0,0.000542166280837,8.41550501115
dpr3,0.0,2.42957196328,0.000542166280837,8.41550501115
caup,0.0,2.70544997954,0.000542166280837,8.41550501115
Cct1,8.88904331521,10.1297181739,0.000551706634864,8.56359038637
GluClalpha,9.29971207922,7.06050294386,0.00055308909204,8.58504888665
Ddc,10.280791308,9.23367217419,0.00055308909204,8.58504888665
mCD8-GFP,12.8950227565,11.7377247239,0.000676970721546,10.5079395398
oaf,0.0,5.78987391235,0.000741696486829,11.5126128686
Ubc4,0.0,7.47195767733,0.000746609897836,11.5888788342
heph,0.0,5.49221005524,0.000792514928053,12.3014167132
CG8289,0.0,7.08325753464,0.000919774599492,14.2767413333
CG31676,9.27519873743,0.0,0.000919774599492,14.2767413333
CG2469,8.36447048563,5.65015692689,0.000982205636211,15.2457958853
dpr15,4.59630778121,0.0,0.00142779274305,22.1621989576
CG8412,0.0,3.41769062314,0.00142779274305,22.1621989576
DIP-beta,0.0,4.55505315309,0.00142779274305,22.1621989576
CG9896,2.8785651982,0.0,0.00142779274305,22.1621989576
CG10133,0.0,3.75716356446,0.00142779274305,22.1621989576
run,0.0,2.92966553904,0.00142779274305,22.1621989576
CG1537,4.87094400619,0.0,0.00142779274305,22.1621989576
betaTub56D,10.846257389,11.8021295909,0.00147282307527,22.8611597743
ND-23,9.51954320766,8.77402223208,0.00147282307527,22.8611597743
CG3726,0.0,7.13410116874,0.00150721646069,23.3950139029
CG1358,9.87564187957,4.86024254906,0.00170367355559,26.4444209299
CG42613,1.57387165178,3.71527820448,0.00170367355559,26.4444209299
ras,4.09352165726,9.38473687709,0.00181311024187,28.1430971743
cbt,8.11226861128,0.0,0.00190593953565,29.5839934724
CG32683,3.05350257213,0.0,0.00194175002269,30.1398438521
pyd,6.88933033248,0.0,0.00196453706682,30.4935443511
Mkrn1,0.0,6.25927331929,0.00226897640886,35.2190518183
CG15765,6.45709718725,2.28548241003,0.00228994716263,35.5445598584
CG3838,0.0,8.1335450955,0.00239300692391,37.1442534729
CG32392,0.0,5.10680708131,0.00239300692391,37.1442534729
CG15537,12.0288284878,9.20521118852,0.00254913889704,39.5677339598
ST6Gal,9.69313548381,10.8102913681,0.0025539527125,39.6424540034
ATPsynC,13.7467293075,13.4199254131,0.0025539527125,39.6424540034
CG9328,10.7745884065,9.72129396137,0.0025539527125,39.6424540034
Naam,8.03187051199,0.0,0.0027480089233,42.6545945074
PRAS40,0.0,8.77770703326,0.00291155513335,45.1931587799
Eb1,4.03230782435,8.46128357556,0.00293985221537,45.632386087
Diap1,8.71461898289,4.08382156432,0.00299439011492,46.4789233637
Fibp,0.0,7.74104071113,0.00302023299658,46.8800565729
CG9646,7.78314638667,9.52045299133,0.00304394018393,47.248039535
