symbol,medianA,medianB,pvalue,pvalue_adj
acj6,0.0,6.89887227928,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.2619487813,1.45213319843e-05,0.22540011506
Cbp53E,11.4634392868,8.38759835291,1.82210136462e-05,0.282826573817
C15,0.0,10.1089711799,1.87923035691e-05,0.291694136
PVRAP,0.0,8.57798111172,1.87923035691e-05,0.291694136
ara,0.0,8.65217894685,1.87923035691e-05,0.291694136
CG31676,9.50606078435,0.0,1.87923035691e-05,0.291694136
hth,10.4825653765,4.8689705826,2.89345043e-05,0.449121375744
CG42339,9.02650686337,0.0,3.03089062316e-05,0.470454842527
CG7985,9.12979081652,0.0,3.58926629413e-05,0.557125914175
GluClalpha,9.60153987943,7.32221360245,3.82914473375e-05,0.594359845572
betaTub56D,10.3763888812,12.0833838628,4.86728378236e-05,0.755499788697
IA-2,11.5788067625,10.6851141659,4.86728378236e-05,0.755499788697
DIP-eta,4.30700283292,0.0,5.07461880929e-05,0.787682331577
CG30089,0.0,8.14112882574,6.2654363942e-05,0.972521037107
Scp2,9.78330402848,0.0,0.00011600356004,1.80060725894
rdgC,7.86577475426,0.0,0.000119835656962,1.86008906736
dpr15,4.78847456423,0.0,0.000191695863289,2.97550318997
pyd,6.84420194804,0.0,0.000289872476541,4.49940058086
CG32700,8.81450960012,4.27520467336,0.00029277029605,4.54438053528
nAChRalpha6,8.82752867992,6.9133638135,0.000365740995907,5.67703173847
Drep3,0.0,9.06291539872,0.00039571968757,6.14236099045
Fife,5.46984921797,0.0,0.000401100451324,6.22588120545
IP3K2,8.11819309347,0.0,0.000401100451324,6.22588120545
Con,8.64325887308,4.42143994394,0.000449304376389,6.9741025303
Rcd5,0.0,5.92834558711,0.000476968848332,7.40351046381
Myt1,7.08379026374,0.0,0.000542166280837,8.41550501115
CR32111,0.0,3.69828418249,0.000542166280837,8.41550501115
igl,10.8657503029,11.8470626921,0.00055308909204,8.58504888665
Sema-1a,7.35567129442,3.50440923758,0.000660719458141,10.2556874293
Argk,12.2626586841,12.7832179101,0.000676970721546,10.5079395398
ST6Gal,9.33358892214,10.7928325928,0.000676970721546,10.5079395398
dpr3,0.0,6.81216362906,0.000792514928053,12.3014167132
CG9328,10.5894927225,9.70145376479,0.00100475242783,15.5957671848
CG34353,6.90229833535,0.0,0.00113640233548,17.6392370513
CG5569,8.16928130507,3.32536537161,0.00122607677974,19.0311637751
