symbol,medianA,medianB,pvalue,pvalue_adj
DIP-eta,5.21770207963,0.0,5.13445780758e-06,0.0796970540892
C15,0.0,10.185499991,5.13445780758e-06,0.0796970540892
CG2082,0.0,11.4563958771,1.19642080675e-05,0.185708437624
hth,10.5719103897,7.46811182998,1.75893739454e-05,0.27302226238
Cbp53E,11.3736085741,8.75663538053,1.82922767695e-05,0.283932720016
acj6,0.0,5.39160240882,1.87923035691e-05,0.291694136
bru-3,0.0,6.00188885004,3.03089062316e-05,0.470454842527
AIMP3,0.0,8.03920076772,3.58926629413e-05,0.557125914175
rdgC,7.46817350368,0.0,3.92892831811e-05,0.609848253538
GluClalpha,9.60153987943,6.96606194906,7.78979465439e-05,1.20913192626
igl,10.2709747537,11.8773490672,7.78979465439e-05,1.20913192626
Dd,0.0,6.27433327178,0.00011600356004,1.80060725894
Drep3,0.0,8.806912588,0.000191427754366,2.97134160328
CG4407,0.0,8.5223836668,0.000191427754366,2.97134160328
caup,0.0,5.11867578964,0.000191695863289,2.97550318997
Scp2,8.65241134185,0.0,0.000191695863289,2.97550318997
mtd,4.92376517771,8.04093399483,0.000238162387247,3.69675657485
Ktl,10.1944408217,9.10452491589,0.000238840864478,3.70728789844
kek1,7.77788863125,5.29145837198,0.000238840864478,3.70728789844
CG42339,9.13902922683,0.0,0.000239209057348,3.71300298815
CG31676,9.08836979619,0.0,0.000245190061008,3.80584012697
ben,0.0,7.86155201552,0.000259912350261,4.03435950075
IA-2,11.8496799942,10.8216261383,0.000365740995907,5.67703173847
Fife,5.69688795546,0.0,0.000380367227827,5.90406011033
CG43729,9.10795489321,10.4875177629,0.00045046779818,6.99216116335
CG44247,9.57074064031,8.06056345169,0.00045046779818,6.99216116335
CG7985,8.86986119668,0.0,0.000490627225359,7.61551579203
CG30089,0.0,6.29928132452,0.000505276606553,7.84290348691
mirr,0.667757053465,8.6892985412,0.00050606021451,7.85506664963
CG32052,7.79040743366,0.0,0.000542166280837,8.41550501115
DIP-beta,0.0,2.79241863151,0.000542166280837,8.41550501115
CR32111,0.0,2.28333125717,0.000542166280837,8.41550501115
apt,5.97603729567,0.0,0.000542166280837,8.41550501115
CG4577,10.2743493632,8.5414065059,0.00055308909204,8.58504888665
CG3368,0.0,7.28144667861,0.000599404297285,9.30395350247
CG11000,0.996839836386,7.49344570642,0.000644725598377,10.007430738
CG15765,7.00851990184,2.08185175438,0.000660719458141,10.2556874293
AstA-R1,2.93698537442,0.0,0.000792514928053,12.3014167132
PVRAP,0.0,7.76534338023,0.000919774599492,14.2767413333
COX7A,10.8830263803,10.3381131055,0.00100475242783,15.5957671848
heph,0.0,5.79412346775,0.00113640233548,17.6392370513
CG32700,8.85797842368,5.41658452972,0.00116590237631,18.0971366851
CG31221,9.44943497637,10.5821164964,0.00121836740449,18.9114988526
Ddc,10.253429035,9.03796357296,0.00121836740449,18.9114988526
Flo1,8.06241841093,0.0,0.00123829633922,19.2208357774
CG7600,7.90765989266,0.0,0.00125050505117,19.4103394042
