name	input	uniquely_mapped	multiple_loci	too_many_loci	percent_unmapped_too_many_mismatches	percent_unmapped_too_short
N357Barcode_719-507	1315895	1152839	137616	2733	0.80%	0.89%
N357Barcode_721-505	824255	718104	79531	4729	0.93%	1.65%
N357Barcode_712-506	1125477	992238	106212	4189	0.86%	1.09%
N357Barcode_729-515	1376791	1291478	61304	2097	0.70%	0.83%
N357Barcode_711-517	1077978	973112	87247	1848	0.88%	0.56%
N357Barcode_716-517	1166429	1027004	110913	4336	0.88%	1.14%
N357Barcode_707-510	1133279	1037220	79121	1924	0.79%	0.52%
N357Barcode_726-505	1078289	963548	97392	1423	0.81%	0.61%
N357Barcode_715-506	1109192	995527	94032	1796	0.80%	0.78%
N357Barcode_702-511	1675585	1503299	138220	3050	0.80%	0.97%
N357Barcode_718-517	922216	826003	79328	1674	0.86%	0.69%
N357Barcode_720-515	1118832	994731	101031	3499	0.82%	0.88%
N357Barcode_728-505	1059587	949198	90001	2471	0.88%	0.79%
N357Barcode_710-507	1028670	939092	74518	1160	0.84%	0.50%
N357Barcode_707-522	1157017	1006776	117193	6414	0.93%	1.32%
N357Barcode_705-511	1700195	1528656	141488	2480	0.78%	0.80%
N357Barcode_727-515	1211607	1084223	104394	2728	0.80%	0.79%
N357Barcode_714-516	804783	719516	72412	1204	0.81%	0.63%
N357Barcode_703-518	677639	599763	59337	2872	0.93%	1.32%
N357Barcode_722-507	1327270	1191648	110754	3470	0.83%	0.73%
N357Barcode_701-521	126759	110207	13155	476	0.78%	1.35%
N357Barcode_729-506	25	11	9	0	12.00%	8.00%
N357Barcode_712-515	916906	835539	67017	867	0.80%	0.64%
N357Barcode_721-516	926795	830842	81533	1201	0.81%	0.59%
N357Barcode_715-515	987731	898275	73926	1881	0.83%	0.51%
N357Barcode_726-516	1123883	1009421	93626	1988	0.79%	0.84%
N357Barcode_707-503	416055	377413	30465	1093	0.68%	1.00%
N357Barcode_704-518	510341	469565	32900	653	0.64%	0.73%
N357Barcode_706-521	1526221	1366202	129856	4059	0.86%	0.79%
N357Barcode_702-508	1497809	1345520	90551	1742	0.75%	3.18%
N357Barcode_723-517	1275923	1133289	112623	4964	0.88%	1.01%
N357Barcode_701-513	670496	592008	59644	2969	0.91%	1.36%
N357Barcode_728-516	986918	874459	84035	5277	0.91%	1.33%
N357Barcode_703-520	1537083	1414667	88036	5157	0.84%	1.02%
N357Barcode_702-502	1421151	1351817	46867	2536	0.70%	0.63%
N357Barcode_720-506	1305591	1146443	137527	2036	0.78%	0.65%
N357Barcode_704-520	1438073	1299633	110123	3583	0.86%	0.82%
N357Barcode_714-505	737002	655218	65473	2256	0.89%	0.89%
N357Barcode_705-502	2027512	1814724	173639	6344	0.76%	0.82%
N357Barcode_727-506	1584626	1427680	133636	1817	0.78%	0.54%
N357Barcode_724-517	905945	813474	76669	1582	0.83%	0.64%
N357Barcode_705-508	52002	36843	2822	160	0.74%	22.51%
N357Barcode_706-513	1466826	1315281	126962	2960	0.85%	0.59%
N357Barcode_714-502	1735924	1561676	141710	3583	0.80%	0.85%
N357Barcode_705-505	821528	732885	69914	2483	0.85%	1.09%
N357Barcode_715-520	1354	1016	70	1	1.77%	17.95%
N357Barcode_724-510	1471753	1322101	122038	2844	0.79%	0.84%
N357Barcode_714-508	1627916	1479702	106467	5161	0.80%	1.37%
N357Barcode_723-510	1585398	1389244	152285	6906	0.88%	1.40%
N357Barcode_710-513	1578814	1420668	125962	3686	0.81%	0.97%
N357Barcode_728-511	1254468	1121431	111736	2115	0.90%	0.57%
N357Barcode_719-521	1862232	1600071	174591	5533	0.81%	3.55%
N357Barcode_702-505	370626	324869	35089	1313	0.97%	1.48%
N357Barcode_718-503	1884873	1709864	140341	5758	0.75%	0.72%
N357Barcode_712-520	1616543	1497800	92259	2770	0.83%	0.59%
N357Barcode_726-511	993020	898845	73997	1692	0.89%	0.96%
N357Barcode_704-515	697688	609544	66213	3338	0.93%	1.59%
N357Barcode_715-518	461097	413439	37330	1459	0.87%	1.00%
N357Barcode_724-522	949729	855991	68324	4731	0.87%	1.26%
N357Barcode_716-503	1915895	1731469	154295	3665	0.76%	0.58%
N357Barcode_710-521	1189962	1078917	88847	2593	0.83%	0.78%
N357Barcode_712-518	1138971	1046783	74620	2061	0.81%	0.50%
N357Barcode_723-522	1368677	1244616	92594	5100	0.84%	1.04%
N357Barcode_711-503	1510	1069	130	1	1.79%	18.61%
N357Barcode_721-511	2145731	1895612	210044	4078	0.78%	0.85%
N357Barcode_719-513	1774356	1603621	144086	2838	0.76%	0.52%
N357Barcode_703-515	734855	657558	60877	1447	0.86%	1.14%
N357Barcode_716-522	1577925	1406259	126959	6683	0.87%	1.41%
N357Barcode_724-503	2262709	2010119	195128	13152	0.73%	1.12%
N357Barcode_727-518	1791354	1597832	144905	9199	0.85%	1.20%
N357Barcode_706-507	875008	784096	75316	1342	0.84%	0.76%
N357Barcode_705-516	772193	695652	65596	654	0.79%	0.53%
N357Barcode_714-511	1768540	1488514	236069	6018	0.87%	1.25%
N357Barcode_702-516	601505	519831	68150	2894	0.91%	0.83%
N357Barcode_718-510	1342057	1213142	107240	2456	0.80%	0.61%
N357Barcode_728-508	1828737	1657072	122160	7333	0.81%	1.44%
N357Barcode_722-521	1744538	1539762	155819	7434	0.90%	1.42%
N357Barcode_728-502	2178463	1887615	247317	9181	0.79%	0.71%
N357Barcode_729-520	1385659	1318529	50194	1602	0.68%	0.40%
N357Barcode_711-522	3361	2359	236	13	1.34%	20.98%
N357Barcode_723-503	1733600	1582344	127347	1441	0.75%	0.54%
N357Barcode_701-507	1576528	1429625	119169	3702	0.80%	0.68%
N357Barcode_720-518	1709212	1578985	104279	2459	0.74%	0.58%
N357Barcode_716-510	7651	6719	632	12	0.82%	2.88%
N357Barcode_726-508	1581199	1429082	109629	6334	0.80%	1.45%
N357Barcode_707-517	1046606	904441	112095	6314	0.92%	1.24%
N357Barcode_726-502	1976900	1764811	156972	9598	0.81%	1.44%
N357Barcode_704-506	626309	553273	58971	1104	0.89%	1.16%
N357Barcode_727-520	1661543	1523059	110248	3858	0.82%	0.61%
N357Barcode_721-502	1488929	1343790	123195	1835	0.80%	0.52%
N357Barcode_703-506	677324	617461	48992	740	0.87%	0.61%
N357Barcode_718-522	4122	3048	434	15	0.75%	14.36%
N357Barcode_720-520	1356	1045	96	3	1.11%	14.53%
N357Barcode_729-518	1763815	1674134	62268	1866	0.72%	0.69%
N357Barcode_711-510	1478373	1341694	101482	5797	0.89%	1.04%
N357Barcode_721-508	1886458	1718121	127245	5111	0.76%	1.08%
N357Barcode_722-513	1816736	1618881	164841	3481	0.81%	0.77%
N357Barcode_705-520	1492636	1372280	92501	3842	0.78%	0.80%
N357Barcode_715-505	864749	772379	78939	1369	0.82%	0.56%
N357Barcode_704-502	1470195	1342445	98842	5333	0.77%	0.77%
N357Barcode_726-506	1123001	1012600	87819	3138	0.81%	0.88%
N357Barcode_704-508	1480189	1319854	105401	9898	0.80%	2.15%
N357Barcode_707-513	1535168	1370432	129530	4935	0.81%	1.13%
N357Barcode_703-508	1451737	1306217	102658	3335	0.79%	1.90%
N357Barcode_722-517	1138841	1020700	97035	2100	0.86%	0.78%
N357Barcode_729-516	469536	451640	11207	617	0.63%	0.63%
N357Barcode_702-520	599462	551383	37829	902	0.82%	0.71%
N357Barcode_712-505	876818	793470	69561	1040	0.86%	0.58%
N357Barcode_703-502	1698478	1523164	146765	1689	0.82%	0.74%
N357Barcode_721-506	1188726	1073478	97134	1896	0.82%	0.49%
N357Barcode_714-515	548562	497228	42288	1020	0.84%	0.56%
N357Barcode_727-516	1068394	963804	81507	2690	0.85%	1.02%
N357Barcode_706-503	1870971	1684045	148036	5740	0.79%	0.91%
N357Barcode_724-507	459	341	42	0	2.18%	14.38%
N357Barcode_705-518	793617	713084	63794	2051	0.80%	1.01%
N357Barcode_707-521	1327014	1185389	118225	2427	0.83%	0.74%
N357Barcode_701-503	6683	5466	529	23	0.76%	9.11%
N357Barcode_702-518	969687	885076	67060	2089	0.83%	0.73%
N357Barcode_723-507	911	746	73	4	1.54%	8.01%
