name	label
N357Barcode_719-507	28
N357Barcode_721-505	6
N357Barcode_712-506	11
N357Barcode_729-515	24
N357Barcode_711-517	22
N357Barcode_716-517	4
N357Barcode_707-510	18
N357Barcode_726-505	9
N357Barcode_715-506	9
N357Barcode_718-517	16
N357Barcode_720-515	16
N357Barcode_728-505	9
N357Barcode_710-507	20
N357Barcode_707-522	16
N357Barcode_705-511	15
N357Barcode_727-515	-1
N357Barcode_714-516	13
N357Barcode_703-518	12
N357Barcode_722-507	2
N357Barcode_712-515	12
N357Barcode_721-516	28
N357Barcode_715-515	9
N357Barcode_726-516	8
N357Barcode_707-503	21
N357Barcode_704-518	9
N357Barcode_706-521	16
N357Barcode_702-508	9
N357Barcode_723-517	9
N357Barcode_701-513	3
N357Barcode_728-516	22
N357Barcode_703-520	15
N357Barcode_702-502	13
N357Barcode_720-506	3
N357Barcode_704-520	22
N357Barcode_714-505	21
N357Barcode_705-502	19
N357Barcode_727-506	8
N357Barcode_724-517	13
N357Barcode_706-513	8
N357Barcode_714-502	13
N357Barcode_705-505	8
N357Barcode_724-510	8
N357Barcode_714-508	8
N357Barcode_723-510	3
N357Barcode_710-513	13
N357Barcode_728-511	19
N357Barcode_719-521	15
N357Barcode_702-505	8
N357Barcode_718-503	19
N357Barcode_712-520	9
N357Barcode_726-511	9
N357Barcode_704-515	17
N357Barcode_715-518	26
N357Barcode_724-522	8
N357Barcode_716-503	26
N357Barcode_710-521	22
N357Barcode_712-518	28
N357Barcode_721-511	16
N357Barcode_719-513	9
N357Barcode_703-515	1
N357Barcode_716-522	14
N357Barcode_724-503	16
N357Barcode_727-518	9
N357Barcode_706-507	9
N357Barcode_705-516	3
N357Barcode_718-510	28
N357Barcode_728-508	0
N357Barcode_722-521	8
N357Barcode_729-520	9
N357Barcode_723-503	2
N357Barcode_701-507	29
N357Barcode_720-518	9
N357Barcode_726-508	11
N357Barcode_726-502	16
N357Barcode_727-520	1
N357Barcode_721-502	16
N357Barcode_703-506	9
N357Barcode_729-518	20
N357Barcode_721-508	29
N357Barcode_722-513	16
N357Barcode_705-520	20
N357Barcode_715-505	29
N357Barcode_704-502	28
N357Barcode_726-506	15
N357Barcode_704-508	14
N357Barcode_707-513	26
N357Barcode_722-517	16
N357Barcode_702-520	22
N357Barcode_712-505	2
N357Barcode_703-502	12
N357Barcode_721-506	26
N357Barcode_714-515	5
N357Barcode_727-516	9
N357Barcode_706-503	2
N357Barcode_705-518	1
N357Barcode_707-521	8
N357Barcode_702-518	16
N357Barcode_720-516	8
N357Barcode_716-507	9
N357Barcode_706-522	16
N357Barcode_715-516	14
N357Barcode_703-511	8
N357Barcode_721-515	0
N357Barcode_712-516	24
N357Barcode_711-507	17
